,ticker,2023,2024,2025,2026,2027
Revenue(In $M),IFF,"12,407","12,853","13,598","14,251","14,982"
Dividend,IFF,2.72,2.87,2.96,3.28,3.23
Dividend Yield (in %),IFF,3.55 %,3.76 %,3.90 %,4.83 %,-
EPS,IFF,4.87,5.64,-,7.21,7.44
P/E Ratio,IFF,19.55,16.89,14.75,13.21,12.80
EBIT(In $M),IFF,"1,180","1,467","1,759","1,975","2,016"
EBITDA(In $M),IFF,"2,343","2,627","2,950","3,188","3,385"
Net Profit(In $M),IFF,"1,240","1,470",-,-,-
Net Profit Adjusted(In $M),IFF,"1,240","1,470",-,-,-
Pre-Tax Profit(In $M),IFF,786,"1,086","1,375","1,751","1,808"
Net Profit (Adjusted)(In $M),IFF,874,"1,171","1,476","1,621","1,797"
EPS (Non-GAAP) ex. SOE(In $),IFF,4.87,5.64,-,7.21,7.44
EPS (GAAP)(In $),IFF,2.36,3.75,4.79,5.08,5.10
Gross Income(In $M),IFF,"4,027","4,331","4,737","5,583","5,997"
Cash Flow from Investing(In $M),IFF,260,-524,-667,"-1,375","-1,317"
Cash Flow from Operations(In $M),IFF,"1,763","1,948","2,198","2,774","2,910"
Cash Flow from Financing(In $M),IFF,"-1,979","-1,340",-996,"1,275","1,372"
Cash Flow per Share(In $),IFF,6.63,7.49,8.27,8.75,10.51
Free Cash Flow(In $M),IFF,"1,161","1,312","1,527","1,901","2,087"
Free Cash Flow per Share(In $),IFF,3.99,4.41,-,-,-
Book Value per Share(In $),IFF,69.45,69.64,70.94,68.97,72.00
Net Debt(In $M),IFF,"9,414","8,696","7,930","6,070","3,573"
Research & Development Exp.(In $M),IFF,633,660,712,725,-
Capital Expenditure(In $M),IFF,551,593,640,709,671
"Selling, General & Admin. Exp.(In $M)",IFF,"1,595","1,639","1,373","1,689",-
Shareholder’s Equity(In $M),IFF,"17,776","18,058","18,678","20,434","21,757"
Total Assets(In $M),IFF,"33,887","33,737","34,361","38,848","41,774"
