,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),XOM,398675.0,398675.0,285640.0,181502.0,264938.0
Cost of revenue(figures in $M),XOM,295608.0,295608.0,211806.0,170447.0,199625.0
Gross profit(figures in $M),XOM,103067.0,103067.0,64886.0,8127.0,55958.0
Selling general and administrative(figures in $M),XOM,10577.0,10577.0,9574.0,10168.0,11398.0
Total operating expenses(figures in $M),XOM,39521.0,39521.0,254406.0,210385.0,43192.0
Operating income or loss(figures in $M),XOM,63546.0,63546.0,31234.0,-28883.0,264938.0
Interest expense(figures in $M),XOM,798.0,798.0,947.0,1158.0,830.0
Total other income/expenses net(figures in $M),XOM,15005.0,15005.0,8162.0,1723.0,8120.0
Income before tax(figures in $M),XOM,77753.0,77753.0,31234.0,-28883.0,20056.0
Income tax expense(figures in $M),XOM,20176.0,20176.0,7636.0,-5632.0,5282.0
Income from continuing operations(figures in $M),XOM,57577.0,57577.0,23598.0,-23251.0,14774.0
Net income(figures in $M),XOM,55740.0,55740.0,23040.0,-22440.0,14340.0
Net income available to common shareholders(figures in $M),XOM,55740.0,55740.0,23040.0,-22440.0,14340.0
Basic EPS(figures in $M),XOM,,1.326e-05,5.39e-06,-5.25e-06,3.36e-06
Diluted EPS(figures in $M),XOM,,1.326e-05,5.39e-06,-5.25e-06,3.36e-06
Basic average shares(figures in $M),XOM,,4275.0,4271.0,4271.0,4270.0
Diluted average shares(figures in $M),XOM,,4275.0,4271.0,4271.0,4270.0
EBITDA(figures in $M),XOM,,102591.0,31234.0,-28883.0,264938.0
