,ticker,2023,2024,2025,2026,2027
Revenue(In $M),AN,"26,082","26,544","26,334","30,265","30,603"
Dividend,AN,0.00,0.00,0.00,0.00,0.00
Dividend Yield (in %),AN,-,-,-,-,-
EPS,AN,22.23,20.90,19.11,21.00,21.30
P/E Ratio,AN,5.90,6.28,6.87,6.25,6.16
EBIT(In $M),AN,"1,587","1,418","1,391","1,559","1,556"
EBITDA(In $M),AN,"1,794","1,627","1,492",-,-
Net Profit(In $M),AN,"1,014",878,818,866,855
Net Profit Adjusted(In $M),AN,"1,040",902,"1,101","1,123","1,116"
Pre-Tax Profit(In $M),AN,"1,338","1,143","1,111","1,155","1,140"
Net Profit (Adjusted)(In $M),AN,"1,325","1,041",-,-,-
EPS (Non-GAAP) ex. SOE(In $),AN,22.23,20.90,19.11,21.00,21.30
EPS (GAAP)(In $),AN,22.60,21.40,-,-,-
Gross Income(In $M),AN,"4,960","4,784","4,752","5,069","5,140"
Cash Flow from Investing(In $M),AN,-106,-97,-350,-363,-367
Cash Flow from Operations(In $M),AN,"1,184","1,055","1,062","1,095","1,108"
Cash Flow from Financing(In $M),AN,-593,-268,-200,-200,-200
Cash Flow per Share(In $),AN,25.19,23.88,-,-,-
Free Cash Flow(In $M),AN,802,699,712,732,741
Free Cash Flow per Share(In $),AN,-,-,-,-,-
Book Value per Share(In $),AN,54.17,69.28,96.15,-,-
Net Debt(In $M),AN,"3,287","3,022","1,664",-,-
Research & Development Exp.(In $M),AN,-,-,-,-,-
Capital Expenditure(In $M),AN,355,364,350,363,367
"Selling, General & Admin. Exp.(In $M)",AN,"3,107","3,105","3,100","3,254","3,322"
Shareholder’s Equity(In $M),AN,"2,273","2,678","3,565","4,231","4,886"
Total Assets(In $M),AN,"10,642","12,081","13,872","15,065","15,774"
