,ticker,2023,2024,2025,2026
Revenue(In $M),MU,"15,549","21,629","27,838","38,782"
Dividend,MU,-,-,-,-
Dividend Yield (in %),MU,0.68 %,0.68 %,0.58 %,-
EPS,MU,-4.54,0.61,4.35,-
P/E Ratio,MU,-13.33,99.83,13.92,-
EBIT(In $M),MU,"-5,097",741,"5,358",-
EBITDA(In $M),MU,"2,761","8,570","12,974",-
Net Profit(In $M),MU,"-5,463",295,"4,700",-
Net Profit Adjusted(In $M),MU,"-4,962",547,"5,357",-
Pre-Tax Profit(In $M),MU,"-5,186",644,"5,683",-
Net Profit (Adjusted)(In $M),MU,"-4,977",621,"5,264",-
EPS (Non-GAAP) ex. SOE(In $),MU,-5.02,0.37,5.10,-
EPS (GAAP)(In $),MU,-5.15,0.03,4.52,-
Gross Income(In $M),MU,-941,"4,494","10,120",-
Cash Flow from Investing(In $M),MU,"-7,610","-7,565","-9,546",-
Cash Flow from Operations(In $M),MU,"3,168","7,887","12,112","19,860"
Cash Flow from Financing(In $M),MU,"4,004",-884,"-3,029",-
Cash Flow per Share(In $),MU,2.49,7.05,13.47,-
Free Cash Flow(In $M),MU,"-3,928",882,"3,482","8,086"
Free Cash Flow per Share(In $),MU,-4.24,0.32,2.81,-
Book Value per Share(In $),MU,40.05,39.06,43.04,-
Net Debt(In $M),MU,"2,325","1,007",-222,-
Research & Development Exp.(In $M),MU,"2,998","2,920","3,223","3,226"
Capital Expenditure(In $M),MU,"7,053","6,772","9,230","11,774"
"Selling, General & Admin. Exp.(In $M)",MU,826,791,-,-
Shareholder’s Equity(In $M),MU,"44,081","43,404","46,608",-
Total Assets(In $M),MU,-,-,-,-
