,ttm,2022-08-31,2021-08-31,2020-08-31,2019-08-31,ticker
Net income(figures in $M),1611.0,8687.0,5861.0,2687.0,6313.0,MU
Depreciation & amortisation(figures in $M),7566.0,7116.0,6214.0,5650.0,5473.0,MU
Stock-based compensation(figures in $M),570.0,514.0,378.0,328.0,243.0,MU
Change in working capital(figures in $M),-2189.0,-1245.0,-420.0,-408.0,879.0,MU
Inventory(figures in $M),-4175.0,-2179.0,866.0,-489.0,-1528.0,MU
Other working capital(figures in $M),-1944.0,3114.0,2438.0,83.0,3334.0,MU
Other non-cash items(figures in $M),-87.0,26.0,434.0,66.0,-111.0,MU
Net cash provided by operating activities(figures in $M),8901.0,15181.0,12468.0,8306.0,13189.0,MU
"Investments in property, plant and equipment(figures in $M)",-10845.0,-12067.0,-10030.0,-8223.0,-9855.0,MU
"Acquisitions, net(figures in $M)",0.0,0.0,0.0,0.0,0.0,MU
Purchases of investments(figures in $M),-1141.0,-1770.0,-3163.0,-1857.0,-4218.0,MU
Sales/maturities of investments(figures in $M),1585.0,1615.0,2106.0,2272.0,3045.0,MU
Other investing activities(figures in $M),-184.0,-251.0,498.0,219.0,-230.0,MU
Net cash used for investing activities(figures in $M),-10590.0,-11585.0,-10589.0,-7589.0,-10085.0,MU
Debt repayment(figures in $M),-104.0,-2032.0,-1520.0,-4366.0,-3340.0,MU
Common stock repurchased(figures in $M),-205.0,-2432.0,-1294.0,-251.0,-2729.0,MU
Dividends paid(figures in $M),-489.0,-461.0,0.0,0.0,0.0,MU
Other financing activities(figures in $M),120.0,70.0,-155.0,-925.0,-2617.0,MU
Net cash used provided by (used for) financing activities(figures in $M),2433.0,-2980.0,-1781.0,-317.0,-2438.0,MU
Net change in cash(figures in $M),663.0,510.0,139.0,411.0,692.0,MU
Cash at beginning of period(figures in $M),9224.0,7829.0,7690.0,7279.0,6587.0,MU
Cash at end of period(figures in $M),9968.0,8339.0,7829.0,7690.0,7279.0,MU
Operating cash flow(figures in $M),8901.0,15181.0,12468.0,8306.0,13189.0,MU
Capital expenditure(figures in $M),-10845.0,-12067.0,-10030.0,-8223.0,-9855.0,MU
Free cash flow(figures in $M),-1944.0,3114.0,2438.0,83.0,3334.0,MU
