,ticker,2023,2024,2025
Revenue(In $M),FLR,"15,028","16,551","17,717"
Dividend,FLR,0.22,0.24,0.47
Dividend Yield (in %),FLR,0.69 %,0.75 %,1.45 %
EPS,FLR,1.65,2.37,2.62
P/E Ratio,FLR,17.13,11.94,10.81
EBIT(In $M),FLR,422,514,535
EBITDA(In $M),FLR,516,622,661
Net Profit(In $M),FLR,265,377,394
Net Profit Adjusted(In $M),FLR,261,383,394
Pre-Tax Profit(In $M),FLR,487,588,588
Net Profit (Adjusted)(In $M),FLR,-,-,-
EPS (Non-GAAP) ex. SOE(In $),FLR,1.65,2.37,2.62
EPS (GAAP)(In $),FLR,-,2.52,2.45
Gross Income(In $M),FLR,634,739,-
Cash Flow from Investing(In $M),FLR,-24,-74,-80
Cash Flow from Operations(In $M),FLR,120,205,226
Cash Flow from Financing(In $M),FLR,-139,-144,-
Cash Flow per Share(In $),FLR,1.62,2.43,2.72
Free Cash Flow(In $M),FLR,41,139,146
Free Cash Flow per Share(In $),FLR,-,-,-
Book Value per Share(In $),FLR,15.47,17.80,20.26
Net Debt(In $M),FLR,"-1,456","-1,652","-2,060"
Research & Development Exp.(In $M),FLR,-,-,-
Capital Expenditure(In $M),FLR,77,81,88
"Selling, General & Admin. Exp.(In $M)",FLR,-,-,-
Shareholder’s Equity(In $M),FLR,"2,234","2,576","2,907"
Total Assets(In $M),FLR,"7,027","7,354",-
