,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MPC,"138,762","129,666","122,805",-,-
Dividend,MPC,3.10,3.31,3.35,-,-
Dividend Yield (in %),MPC,2.41 %,2.50 %,2.56 %,-,-
EPS,MPC,19.77,12.96,11.70,7.92,1.00
P/E Ratio,MPC,5.32,8.11,8.99,13.27,105.12
EBIT(In $M),MPC,"13,525","9,364","8,256",-,-
EBITDA(In $M),MPC,"16,362","12,093","11,067","8,087","5,383"
Net Profit(In $M),MPC,"8,488","4,863","3,850",576,227
Net Profit Adjusted(In $M),MPC,"8,488","4,863","3,850",576,227
Pre-Tax Profit(In $M),MPC,"12,399","7,755","7,173","2,765","2,304"
Net Profit (Adjusted)(In $M),MPC,"11,187","6,990",-,-,-
EPS (Non-GAAP) ex. SOE(In $),MPC,19.77,12.96,11.70,7.92,1.00
EPS (GAAP)(In $),MPC,19.39,13.57,11.54,2.25,1.00
Gross Income(In $M),MPC,"28,375","21,597",-,-,-
Cash Flow from Investing(In $M),MPC,"-1,242","-2,244",-603,"-2,250","-2,250"
Cash Flow from Operations(In $M),MPC,"12,882","9,019","8,059","5,883","5,580"
Cash Flow from Financing(In $M),MPC,"-13,393","-11,402","-8,771","-9,118","-4,386"
Cash Flow per Share(In $),MPC,29.28,23.62,22.86,24.15,25.69
Free Cash Flow(In $M),MPC,"10,087","6,504","5,253",-,-
Free Cash Flow per Share(In $),MPC,23.55,19.15,23.94,-,-
Book Value per Share(In $),MPC,63.68,61.68,68.33,-,-
Net Debt(In $M),MPC,"16,634","18,362","14,417",-,-
Research & Development Exp.(In $M),MPC,-,-,-,-,-
Capital Expenditure(In $M),MPC,"2,168","2,162","2,068","2,250","2,250"
"Selling, General & Admin. Exp.(In $M)",MPC,"2,175","2,168","2,500",-,-
Shareholder’s Equity(In $M),MPC,"28,002","24,321","26,502","10,156","9,457"
Total Assets(In $M),MPC,"85,100","81,409","83,083",-,-
