,ticker,2023,2024,2025
Revenue(In $M),RF,"7,701","7,568","7,778"
Dividend,RF,0.83,0.91,0.97
Dividend Yield (in %),RF,4.39 %,4.85 %,5.22 %
EPS,RF,2.39,2.29,2.54
P/E Ratio,RF,6.53,6.81,6.14
EBIT(In $M),RF,"3,505","3,319","3,506"
EBITDA(In $M),RF,-,-,-
Net Profit(In $M),RF,"2,252","2,130","2,238"
Net Profit Adjusted(In $M),RF,"2,252","2,145","2,035"
Pre-Tax Profit(In $M),RF,"3,010","2,840","2,981"
Net Profit (Adjusted)(In $M),RF,"2,912","2,848",-
EPS (Non-GAAP) ex. SOE(In $),RF,2.39,2.29,2.54
EPS (GAAP)(In $),RF,2.36,2.28,2.48
Gross Income(In $M),RF,-,-,-
Cash Flow from Investing(In $M),RF,-,-,-
Cash Flow from Operations(In $M),RF,-,-,-
Cash Flow from Financing(In $M),RF,-,-,-
Cash Flow per Share(In $),RF,-,-,-
Free Cash Flow(In $M),RF,-,-,-
Free Cash Flow per Share(In $),RF,-,-,-
Book Value per Share(In $),RF,17.55,19.11,20.61
Net Debt(In $M),RF,-,-,-
Research & Development Exp.(In $M),RF,-,-,-
Capital Expenditure(In $M),RF,-,-,-
"Selling, General & Admin. Exp.(In $M)",RF,-,-,-
Shareholder’s Equity(In $M),RF,"17,712","18,718",-
Total Assets(In $M),RF,"155,623","158,931",-
