,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),1191.624,1191.624,1377.475,1409.594,1107.835,MNST
Depreciation & amortisation(figures in $M),61.241,61.241,50.155,60.973,64.814,MNST
Deferred income taxes(figures in $M),48.182,48.182,16.429,-156.873,1.263,MNST
Stock-based compensation(figures in $M),64.109,64.109,70.483,70.289,63.356,MNST
Change in working capital(figures in $M),-486.809,-486.809,-361.895,-28.17,-123.254,MNST
Accounts receivable(figures in $M),-128.981,-128.981,-254.228,-119.672,-59.941,MNST
Inventory(figures in $M),-347.712,-347.712,-277.793,30.304,-85.222,MNST
Accounts payable(figures in $M),49.765,49.765,114.297,18.696,28.832,MNST
Other working capital(figures in $M),675.546,675.546,1098.288,1296.891,1003.364,MNST
Other non-cash items(figures in $M),7.337,7.337,4.107,0.0,0.0,MNST
Net cash provided by operating activities(figures in $M),887.699,887.699,1155.741,1364.163,1113.762,MNST
"Investments in property, plant and equipment(figures in $M)",-212.153,-212.153,-57.453,-67.272,-110.398,MNST
"Acquisitions, net(figures in $M)",-329.472,-329.472,0.0,0.0,0.0,MNST
Purchases of investments(figures in $M),-1847.067,-1847.067,-2413.143,-1299.981,-1067.736,MNST
Sales/maturities of investments(figures in $M),2252.355,2252.355,1488.599,920.196,851.436,MNST
Other investing activities(figures in $M),-26.343,-26.343,-11.353,-26.423,-1.265,MNST
Net cash used for investing activities(figures in $M),-161.367,-161.367,-992.022,-472.487,-326.724,MNST
Debt repayment(figures in $M),0.0,0.0,0.0,-3.086,-13.569,MNST
Common stock issued(figures in $M),64.015,64.015,45.723,72.936,92.363,MNST
Common stock repurchased(figures in $M),-771.028,-771.028,-13.83,-595.918,-707.3,MNST
Net cash used provided by (used for) financing activities(figures in $M),-706.938,-706.938,34.821,-526.068,-628.506,MNST
Net change in cash(figures in $M),-19.321,-19.321,146.049,382.456,160.444,MNST
Cash at beginning of period(figures in $M),1326.462,1326.462,1180.413,797.957,637.513,MNST
Cash at end of period(figures in $M),1307.141,1307.141,1326.462,1180.413,797.957,MNST
Operating cash flow(figures in $M),887.699,887.699,1155.741,1364.163,1113.762,MNST
Capital expenditure(figures in $M),-212.153,-212.153,-57.453,-67.272,-110.398,MNST
Free cash flow(figures in $M),675.546,675.546,1098.288,1296.891,1003.364,MNST
