,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CL,"19,116","19,922","20,742","21,385","21,903"
Dividend,CL,1.94,2.01,2.09,2.19,2.16
Dividend Yield (in %),CL,2.71 %,2.81 %,2.91 %,3.08 %,-
EPS,CL,3.14,3.43,3.74,3.95,4.26
P/E Ratio,CL,25.80,23.60,21.63,20.48,18.99
EBIT(In $M),CL,"3,977","4,248","4,536","4,749","5,026"
EBITDA(In $M),CL,"4,555","4,874","5,201","5,460","5,771"
Net Profit(In $M),CL,"2,609","2,814","3,013","3,107","3,381"
Net Profit Adjusted(In $M),CL,"2,611","2,815","3,016","3,052",-
Pre-Tax Profit(In $M),CL,"3,654","3,941","4,213","4,365","4,714"
Net Profit (Adjusted)(In $M),CL,"3,298","3,807","4,109","4,199",-
EPS (Non-GAAP) ex. SOE(In $),CL,3.14,3.43,3.74,3.95,4.26
EPS (GAAP)(In $),CL,2.97,3.33,3.70,3.80,-
Gross Income(In $M),CL,"11,030","11,584","12,214","12,845",-
Cash Flow from Investing(In $M),CL,-400,-373,-210,-738,-
Cash Flow from Operations(In $M),CL,"3,192","3,647","3,806","3,820",-
Cash Flow from Financing(In $M),CL,"-2,175","-2,424","-2,814","-2,874",-
Cash Flow per Share(In $),CL,3.23,4.36,4.60,4.87,5.43
Free Cash Flow(In $M),CL,"2,343","2,761","2,825","3,211",-
Free Cash Flow per Share(In $),CL,3.11,3.45,3.72,-,-
Book Value per Share(In $),CL,1.14,1.48,2.46,3.62,4.96
Net Debt(In $M),CL,"8,220","8,107","7,953","7,678","4,825"
Research & Development Exp.(In $M),CL,363,374,381,418,-
Capital Expenditure(In $M),CL,773,771,802,814,745
"Selling, General & Admin. Exp.(In $M)",CL,"5,469","5,690","5,073",-,-
Shareholder’s Equity(In $M),CL,652,785,"1,257","2,886","3,934"
Total Assets(In $M),CL,"16,112","16,609","17,413","17,096",-
