,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),SWN,15002.0,15002.0,6667.0,2308.0,3038.0
Cost of revenue(figures in $M),SWN,5566.0,5566.0,2503.0,1303.0,1791.0
Gross profit(figures in $M),SWN,9436.0,9436.0,4164.0,1005.0,1247.0
Selling general and administrative(figures in $M),SWN,170.0,170.0,138.0,121.0,166.0
Total operating expenses(figures in $M),SWN,2055.0,2055.0,1440.0,989.0,948.0
Operating income or loss(figures in $M),SWN,7381.0,7381.0,2724.0,16.0,299.0
Interest expense(figures in $M),SWN,171.0,171.0,136.0,94.0,65.0
Total other income/expenses net(figures in $M),SWN,-5297.0,-5297.0,-2613.0,-2627.0,246.0
Income before tax(figures in $M),SWN,1900.0,1900.0,-25.0,-2705.0,480.0
Income tax expense(figures in $M),SWN,51.0,51.0,0.0,407.0,-411.0
Income from continuing operations(figures in $M),SWN,1849.0,1849.0,-25.0,-3112.0,891.0
Net income(figures in $M),SWN,1849.0,1849.0,-25.0,-3112.0,891.0
Net income available to common shareholders(figures in $M),SWN,1849.0,1849.0,-25.0,-3112.0,891.0
Basic EPS(figures in $M),SWN,,1.6699999999999999e-06,-3e-08,-5.42e-06,1.6499999999999999e-06
Diluted EPS(figures in $M),SWN,,1.66e-06,-3e-08,-5.42e-06,1.6499999999999999e-06
Basic average shares(figures in $M),SWN,,1110.565,789.658,573.89,539.345
Diluted average shares(figures in $M),SWN,,1113.184,789.658,573.89,540.383
EBITDA(figures in $M),SWN,,3245.0,657.0,-2254.0,1016.0
