,ticker,2023,2024,2025,2026,2027
Revenue(In $M),SWN,"6,071","6,764","7,634","9,411","8,607"
Dividend,SWN,0.00,0.00,0.02,-,-
Dividend Yield (in %),SWN,0.44 %,0.79 %,0.61 %,-,-
EPS,SWN,0.70,1.21,1.73,1.94,1.44
P/E Ratio,SWN,6.56,3.80,2.67,2.38,3.20
EBIT(In $M),SWN,"1,140","1,819","2,423","2,645","2,148"
EBITDA(In $M),SWN,"2,453","3,219","3,894","3,990","3,411"
Net Profit(In $M),SWN,782,"1,312","1,812","1,955","1,583"
Net Profit Adjusted(In $M),SWN,782,"1,312","1,812","1,955","1,583"
Pre-Tax Profit(In $M),SWN,"1,873","1,687","2,329","2,539","2,055"
Net Profit (Adjusted)(In $M),SWN,"2,259","1,436","2,250",-,-
EPS (Non-GAAP) ex. SOE(In $),SWN,0.70,1.21,1.73,1.94,1.44
EPS (GAAP)(In $),SWN,1.34,1.15,1.54,1.43,1.44
Gross Income(In $M),SWN,2,2,2,-,-
Cash Flow from Investing(In $M),SWN,"-2,247","-2,400","-2,454","-2,504","-2,504"
Cash Flow from Operations(In $M),SWN,"2,341","2,931","3,482","3,751","3,168"
Cash Flow from Financing(In $M),SWN,-60,-126,-645,0,0
Cash Flow per Share(In $),SWN,2.08,2.66,3.21,3.45,2.69
Free Cash Flow(In $M),SWN,48,566,"1,223","1,627",-
Free Cash Flow per Share(In $),SWN,-0.06,0.33,1.00,1.54,-
Book Value per Share(In $),SWN,5.28,6.42,7.88,-,-
Net Debt(In $M),SWN,"4,458","3,733","2,971",-,-
Research & Development Exp.(In $M),SWN,-,-,-,-,-
Capital Expenditure(In $M),SWN,"2,271","2,367","2,373","2,447","2,504"
"Selling, General & Admin. Exp.(In $M)",SWN,172,168,168,-,-
Shareholder’s Equity(In $M),SWN,"5,446","6,643","8,772","10,218",-
Total Assets(In $M),SWN,"13,726","14,944","16,409","19,002","20,592"
