,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),4392.0,4392.0,5449.0,1141.0,2957.0,DFS
Depreciation & amortisation(figures in $M),561.0,561.0,531.0,485.0,436.0,DFS
Deferred income taxes(figures in $M),-427.0,-427.0,327.0,-672.0,0.0,DFS
Change in working capital(figures in $M),234.0,234.0,-86.0,254.0,7.0,DFS
Other working capital(figures in $M),6904.0,6904.0,5825.0,5935.0,5912.0,DFS
Other non-cash items(figures in $M),-240.0,-240.0,257.0,200.0,-51.0,DFS
Net cash provided by operating activities(figures in $M),7140.0,7140.0,6019.0,6196.0,6196.0,DFS
"Investments in property, plant and equipment(figures in $M)",-236.0,-236.0,-194.0,-261.0,-284.0,DFS
Purchases of investments(figures in $M),-7901.0,-7901.0,-207.0,-8275.0,-8317.0,DFS
Sales/maturities of investments(figures in $M),2452.0,2452.0,5015.0,7005.0,1171.0,DFS
Net cash used for investing activities(figures in $M),-25637.0,-25637.0,40.0,1514.0,-15274.0,DFS
Debt repayment(figures in $M),-5229.0,-5229.0,-4373.0,-5286.0,-6573.0,DFS
Common stock issued(figures in $M),10.0,10.0,9.0,10.0,7.0,DFS
Common stock repurchased(figures in $M),-2359.0,-2359.0,-2260.0,-348.0,-1768.0,DFS
Dividends paid(figures in $M),-703.0,-703.0,-636.0,-576.0,-573.0,DFS
Net cash used provided by (used for) financing activities(figures in $M),16062.0,16062.0,-8316.0,-1085.0,897.0,DFS
Net change in cash(figures in $M),-2435.0,-2435.0,-2257.0,6625.0,-8181.0,DFS
Cash at beginning of period(figures in $M),11332.0,11332.0,13589.0,6964.0,15145.0,DFS
Cash at end of period(figures in $M),8897.0,8897.0,11332.0,13589.0,6964.0,DFS
Operating cash flow(figures in $M),7140.0,7140.0,6019.0,6196.0,6196.0,DFS
Capital expenditure(figures in $M),-236.0,-236.0,-194.0,-261.0,-284.0,DFS
Free cash flow(figures in $M),6904.0,6904.0,5825.0,5935.0,5912.0,DFS
