,ticker,2023,2024,2025
Revenue(In $M),DFS,"15,700","16,316","17,316"
Dividend,DFS,2.64,2.79,2.80
Dividend Yield (in %),DFS,2.46 %,2.62 %,2.55 %
EPS,DFS,13.38,14.27,17.87
P/E Ratio,DFS,7.17,6.72,5.37
EBIT(In $M),DFS,"9,583","9,850","9,230"
EBITDA(In $M),DFS,-,-,-
Net Profit(In $M),DFS,"3,376","3,321","3,856"
Net Profit Adjusted(In $M),DFS,"3,379","3,336","4,006"
Pre-Tax Profit(In $M),DFS,"4,505","4,448","5,155"
Net Profit (Adjusted)(In $M),DFS,"4,482","4,506",-
EPS (Non-GAAP) ex. SOE(In $),DFS,13.29,14.54,19.81
EPS (GAAP)(In $),DFS,13.38,14.27,17.87
Gross Income(In $M),DFS,-,-,-
Cash Flow from Investing(In $M),DFS,-,-,-
Cash Flow from Operations(In $M),DFS,-,-,-
Cash Flow from Financing(In $M),DFS,-,-,-
Cash Flow per Share(In $),DFS,-,-,-
Free Cash Flow(In $M),DFS,-,-,-
Free Cash Flow per Share(In $),DFS,-,-,-
Book Value per Share(In $),DFS,57.38,65.20,67.05
Net Debt(In $M),DFS,-,-,-
Research & Development Exp.(In $M),DFS,"1,141","1,234",-
Capital Expenditure(In $M),DFS,-,-,-
"Selling, General & Admin. Exp.(In $M)",DFS,-,-,-
Shareholder’s Equity(In $M),DFS,"14,219","14,715","13,689"
Total Assets(In $M),DFS,"143,938","151,387","164,659"
