,ticker,2023,2024,2025,2026,2027
Revenue(In $M),APH,"12,367","13,192","14,591","18,514","20,374"
Dividend,APH,0.84,0.89,0.91,-,-
Dividend Yield (in %),APH,1.09 %,1.16 %,1.13 %,-,-
EPS,APH,2.91,3.21,3.64,4.59,5.10
P/E Ratio,APH,25.89,23.49,20.71,16.42,14.78
EBIT(In $M),APH,"2,534","2,756","3,059","3,962","4,390"
EBITDA(In $M),APH,"2,956","3,170","3,557","4,536","5,022"
Net Profit(In $M),APH,"1,805","1,977","2,211","2,859","3,180"
Net Profit Adjusted(In $M),APH,"1,801","1,973","2,226","2,859","3,180"
Pre-Tax Profit(In $M),APH,"2,392","2,612","2,940","3,812","4,240"
Net Profit (Adjusted)(In $M),APH,"2,490","2,716","2,889",-,-
EPS (Non-GAAP) ex. SOE(In $),APH,2.91,3.21,3.64,4.59,5.10
EPS (GAAP)(In $),APH,2.97,3.27,3.59,-,-
Gross Income(In $M),APH,"3,919","4,226","4,447",-,-
Cash Flow from Investing(In $M),APH,-280,-201,64,-,-
Cash Flow from Operations(In $M),APH,"2,358","2,395","2,630",-,-
Cash Flow from Financing(In $M),APH,"-1,090","-1,126","-1,075",-,-
Cash Flow per Share(In $),APH,3.71,3.84,4.45,-,-
Free Cash Flow(In $M),APH,"1,831","1,950","2,251","2,745","3,053"
Free Cash Flow per Share(In $),APH,2.63,2.78,-,-,-
Book Value per Share(In $),APH,13.11,14.77,17.05,-,-
Net Debt(In $M),APH,"2,764","2,178","1,961","3,144","3,144"
Research & Development Exp.(In $M),APH,263,275,-,-,-
Capital Expenditure(In $M),APH,403,426,513,-,-
"Selling, General & Admin. Exp.(In $M)",APH,"1,405","1,461","1,560",-,-
Shareholder’s Equity(In $M),APH,"7,600","8,414","9,938",-,-
Total Assets(In $M),APH,"16,004","16,896",-,-,-
