,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31,ticker
Net income(figures in $M),2780.0,2780.0,6946.0,4368.0,3281.0,TGT
Depreciation & amortisation(figures in $M),2700.0,2700.0,2642.0,2485.0,2604.0,TGT
Deferred income taxes(figures in $M),582.0,582.0,522.0,-184.0,178.0,TGT
Stock-based compensation(figures in $M),220.0,220.0,228.0,200.0,147.0,TGT
Change in working capital(figures in $M),-2436.0,-2436.0,-1445.0,3058.0,862.0,TGT
Inventory(figures in $M),403.0,403.0,-3249.0,-1661.0,505.0,TGT
Accounts payable(figures in $M),-2237.0,-2237.0,2628.0,2925.0,140.0,TGT
Other working capital(figures in $M),-1510.0,-1510.0,5081.0,7876.0,4090.0,TGT
Other non-cash items(figures in $M),172.0,172.0,67.0,86.0,17.0,TGT
Net cash provided by operating activities(figures in $M),4018.0,4018.0,8625.0,10525.0,7117.0,TGT
"Investments in property, plant and equipment(figures in $M)",-5528.0,-5528.0,-3544.0,-2649.0,-3027.0,TGT
"Acquisitions, net(figures in $M)",0.0,0.0,0.0,0.0,0.0,TGT
Net cash used for investing activities(figures in $M),-5504.0,-5504.0,-3154.0,-2591.0,-2944.0,TGT
Debt repayment(figures in $M),-163.0,-163.0,-1147.0,-2415.0,-2069.0,TGT
Common stock repurchased(figures in $M),-2826.0,-2826.0,-7356.0,-745.0,-1565.0,TGT
Dividends paid(figures in $M),-1836.0,-1836.0,-1548.0,-1343.0,-1330.0,TGT
Net cash used provided by (used for) financing activities(figures in $M),-2196.0,-2196.0,-8071.0,-2000.0,-3152.0,TGT
Net change in cash(figures in $M),-3682.0,-3682.0,-2600.0,5934.0,1021.0,TGT
Cash at beginning of period(figures in $M),5911.0,5911.0,8511.0,2577.0,1556.0,TGT
Cash at end of period(figures in $M),2229.0,2229.0,5911.0,8511.0,2577.0,TGT
Operating cash flow(figures in $M),4018.0,4018.0,8625.0,10525.0,7117.0,TGT
Capital expenditure(figures in $M),-5528.0,-5528.0,-3544.0,-2649.0,-3027.0,TGT
Free cash flow(figures in $M),-1510.0,-1510.0,5081.0,7876.0,4090.0,TGT
