,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),TGT,"108,250","111,244","113,812","117,188","123,938","129,639"
Dividend,TGT,3.62,4.22,4.44,4.97,5.52,5.81
Dividend Yield (in %),TGT,2.29 %,2.67 %,2.80 %,3.11 %,3.23 %,3.29 %
EPS,TGT,5.53,8.45,10.60,12.19,12.90,13.95
P/E Ratio,TGT,27.99,18.31,14.60,12.69,12.00,11.10
EBIT(In $M),TGT,"3,653","5,478","6,675","7,238","7,639","8,052"
EBITDA(In $M),TGT,"6,225","8,247","9,475","10,155","10,997","11,532"
Net Profit(In $M),TGT,"2,561","3,912","4,830","5,271","5,535","5,828"
Net Profit Adjusted(In $M),TGT,"2,554","3,961","4,855","5,382","5,534","5,827"
Pre-Tax Profit(In $M),TGT,"3,234","4,994","6,188","6,722","7,118","7,495"
Net Profit (Adjusted)(In $M),TGT,"3,224","5,125","6,513",-,-,-
EPS (Non-GAAP) ex. SOE(In $),TGT,5.53,8.45,10.60,12.19,12.90,13.95
EPS (GAAP)(In $),TGT,5.54,8.56,10.63,12.64,13.14,14.48
Gross Income(In $M),TGT,"26,253","29,019","30,859","32,304","33,926","35,529"
Cash Flow from Investing(In $M),TGT,"-5,352","-4,305","-4,360","-3,615","-3,704","-3,297"
Cash Flow from Operations(In $M),TGT,"4,508","7,814","8,139","8,639","8,679","8,644"
Cash Flow from Financing(In $M),TGT,"-2,650","-2,056","-3,669","-5,522","-5,629","-4,647"
Cash Flow per Share(In $),TGT,10.15,15.75,16.95,19.34,-,-
Free Cash Flow(In $M),TGT,-805,"3,911","3,660","4,815","5,279","6,537"
Free Cash Flow per Share(In $),TGT,-1.37,10.68,9.88,11.26,12.33,15.75
Book Value per Share(In $),TGT,22.88,27.80,29.91,29.41,26.78,-
Net Debt(In $M),TGT,"13,138","13,161","14,393","15,461","23,824",-
Research & Development Exp.(In $M),TGT,-,-,-,-,-,-
Capital Expenditure(In $M),TGT,"5,380","4,490","4,540","3,959","3,704","3,297"
"Selling, General & Admin. Exp.(In $M)",TGT,"21,044","22,033","22,600","23,390","23,526","24,641"
Shareholder’s Equity(In $M),TGT,"10,667","12,930","13,688","13,885","12,100","11,555"
Total Assets(In $M),TGT,"53,881","55,862","58,547","61,362","58,312","60,612"
