,ticker,2023,2024,2025,2026,2027
Revenue(In $M),GIS,"20,175","20,819",-,"22,509","22,803"
Dividend,GIS,2.16,2.24,2.34,2.50,2.63
Dividend Yield (in %),GIS,2.75 %,2.83 %,2.90 %,-,-
EPS,GIS,4.24,4.48,-,5.16,5.31
P/E Ratio,GIS,21.12,19.97,18.70,17.33,16.86
EBIT(In $M),GIS,"3,442","3,612","3,716","3,902","4,008"
EBITDA(In $M),GIS,"4,011","4,228","4,337","4,584","4,783"
Net Profit(In $M),GIS,"2,547","2,643","2,745","2,912",-
Net Profit Adjusted(In $M),GIS,"2,544","2,648","2,751","2,912",-
Pre-Tax Profit(In $M),GIS,"3,177","3,274","3,415","3,572","3,686"
Net Profit (Adjusted)(In $M),GIS,"3,172","3,239","3,372","3,567","3,686"
EPS (Non-GAAP) ex. SOE(In $),GIS,4.24,4.48,-,5.16,5.31
EPS (GAAP)(In $),GIS,4.29,4.47,4.77,5.16,5.31
Gross Income(In $M),GIS,"6,857","7,151","7,347","7,775",-
Cash Flow from Investing(In $M),GIS,174,-177,-170,-740,-
Cash Flow from Operations(In $M),GIS,"3,257","3,503","3,653","3,497",-
Cash Flow from Financing(In $M),GIS,"-2,552","-2,447","-2,694","-2,295",-
Cash Flow per Share(In $),GIS,5.30,5.61,6.03,6.57,6.75
Free Cash Flow(In $M),GIS,"2,530","2,645","2,816",-,-
Free Cash Flow per Share(In $),GIS,3.93,4.68,4.99,-,-
Book Value per Share(In $),GIS,17.37,18.27,19.67,19.73,20.59
Net Debt(In $M),GIS,"11,076","10,663","10,166","10,253","9,904"
Research & Development Exp.(In $M),GIS,-,-,-,-,-
Capital Expenditure(In $M),GIS,644,748,747,765,798
"Selling, General & Admin. Exp.(In $M)",GIS,"3,436","3,557","3,646","3,861",-
Shareholder’s Equity(In $M),GIS,"10,347","10,493","10,896","11,335","11,574"
Total Assets(In $M),GIS,"31,311","31,653","31,935","32,917",-
