,2022,2021,2020,2019,2018,ticker
Current ratio,0.635,0.696,0.684,0.591,0.562,GIS
Quick ratio,0.313,0.424,0.440,0.301,0.313,GIS
Cash ratio,0.071,0.182,0.224,0.063,0.054,GIS
Days of sales outstanding,32.518,32.992,33.444,36.352,44.038,GIS
Days of inventory outstanding,54.133,56.897,45.283,51.236,58.122,GIS
Operating cycle,86.651,89.889,78.727,87.588,102.159,GIS
Days of payables outstanding,115.446,114.185,103.109,93.780,97.195,GIS
Cash conversion cycle,-28.795,-24.295,-24.382,-6.192,4.964,GIS
Gross profit margin,0.337,0.356,0.348,0.341,0.345,GIS
Operating profit margin,0.183,0.173,0.168,0.149,0.159,GIS
Pretax profit margin,0.169,0.158,0.148,0.123,0.136,GIS
Net profit margin,0.143,0.129,0.124,0.104,0.135,GIS
Effective tax rate,0.183,0.220,0.185,0.177,0.027,GIS
Return on assets,0.087,0.073,0.071,0.058,0.070,GIS
Return on equity,0.257,0.247,0.271,0.248,0.347,GIS
Return on capital employed,0.151,0.133,0.127,0.109,0.108,GIS
Net income per EBT,0.844,0.819,0.839,0.842,0.998,GIS
Ebt per ebit,0.923,0.909,0.880,0.828,0.851,GIS
Ebit per revenue,0.183,0.173,0.168,0.149,0.159,GIS
Debt ratio,0.653,0.674,0.711,0.737,0.763,GIS
Debt equity ratio,1.102,1.332,1.680,2.054,2.576,GIS
Long term debt to capitalization,0.464,0.508,0.576,0.622,0.674,GIS
Total debt to capitalization,0.524,0.571,0.627,0.673,0.720,GIS
Interest coverage,9.066,7.353,6.252,4.770,6.511,GIS
Cash flow to debt ratio,0.285,0.237,0.272,0.194,0.180,GIS
Company equity multiplier,2.949,3.362,3.823,4.268,4.987,GIS
Receivables turnover,11.224,11.063,10.914,10.041,8.288,GIS
Payables turnover,3.162,3.197,3.540,3.892,3.755,GIS
Inventory turnover,6.743,6.415,8.061,7.124,6.280,GIS
Fixed asset turnover,5.596,5.026,4.923,4.453,3.889,GIS
Asset turnover,0.611,0.569,0.572,0.560,0.514,GIS
Operating cash flow per share,5.459,4.858,6.045,4.675,4.925,GIS
Free cash flow per share,4.522,3.993,5.288,3.780,3.846,GIS
Cash per share,1.348,3.037,2.759,0.750,0.692,GIS
Payout ratio,0.460,0.533,0.548,0.674,0.535,GIS
Operating cash flow sales ratio,0.175,0.165,0.209,0.166,0.180,GIS
Free cash flow operating cash flow ratio,0.829,0.822,0.875,0.808,0.781,GIS
Cash flow coverage ratios,0.285,0.237,0.272,0.194,0.180,GIS
Short term coverage ratios,1.334,1.056,1.408,0.980,0.902,GIS
Capital expenditure coverage ratio,-5.831,-5.620,-7.978,-5.221,-4.562,GIS
Dividend paid and capex coverage ratio,4.907,4.169,5.002,4.358,5.495,GIS
Dividend payout ratio,0.460,0.533,0.548,0.674,0.535,GIS
Price book value ratio,4.027,4.076,4.795,4.495,4.005,GIS
Price to book ratio,4.027,4.076,4.795,4.495,4.005,GIS
Price to sales ratio,2.235,2.130,2.192,1.880,1.563,GIS
Price earnings ratio,15.683,16.498,17.714,18.090,11.541,GIS
Price to free cash flows ratio,15.454,15.741,12.017,13.972,11.087,GIS
Price to operating cash flows ratio,12.804,12.940,10.510,11.296,8.657,GIS
Price cash flow ratio,12.804,12.940,10.510,11.296,8.657,GIS
Price earnings to growth ratio,0.919,2.692,0.772,-0.867,0.374,GIS
Price sales ratio,2.235,2.130,2.192,1.880,1.563,GIS
Dividend yield,0.029,0.032,0.031,0.037,0.046,GIS
Enterprise value multiple,14.843,11.853,14.038,12.212,12.534,GIS
Price fair value,4.027,4.076,4.795,4.495,4.005,GIS
