,ticker,ttm,2022-05-31,2021-05-31,2020-05-31,2019-05-31
Total revenue(figures in $M),GIS,19955.4,18992.8,18127.0,17626.6,16865.2
Cost of revenue(figures in $M),GIS,13367.9,12590.6,11678.7,11496.7,11108.4
Gross profit(figures in $M),GIS,6587.5,6402.2,6448.3,6129.9,5756.8
Selling general and administrative(figures in $M),GIS,3441.9,3147.0,3079.6,3151.6,2935.8
Total operating expenses(figures in $M),GIS,3441.9,3147.0,3079.6,3151.6,2935.8
Operating income or loss(figures in $M),GIS,3145.6,3255.2,3368.7,2978.3,2821.0
Interest expense(figures in $M),GIS,,383.4,427.7,472.5,527.4
Total other income/expenses net(figures in $M),GIS,580.1,334.0,-91.0,88.4,-217.2
Income before tax(figures in $M),GIS,3343.7,3209.6,2857.4,2600.2,2082.0
Income tax expense(figures in $M),GIS,606.0,586.3,629.1,480.5,367.8
Income from continuing operations(figures in $M),GIS,2815.3,2735.0,2346.0,2210.8,1786.2
Net income(figures in $M),GIS,2801.8,2707.3,2339.8,2181.2,1752.7
Net income available to common shareholders(figures in $M),GIS,2801.8,2707.3,2339.8,2181.2,1752.7
Basic EPS(figures in $M),GIS,,4.46e-06,3.81e-06,3.59e-06,2.92e-06
Diluted EPS(figures in $M),GIS,,4.42e-06,3.78e-06,3.5600000000000002e-06,2.8999999999999998e-06
Basic average shares(figures in $M),GIS,,607.5,614.1,608.1,600.4
Diluted average shares(figures in $M),GIS,,612.6,619.1,613.3,605.4
EBITDA(figures in $M),GIS,,3825.5,3970.0,3573.0,3441.1
