,ticker,ttm,2022-04-30,2021-04-30,2020-04-30
Total revenue(figures in $M),PDCO,6389.091,6499.405,5912.066,5490.011
Cost of revenue(figures in $M),PDCO,5057.668,5210.318,4708.936,4292.601
Gross profit(figures in $M),PDCO,1331.423,1289.087,1203.13,1197.41
Total operating expenses(figures in $M),PDCO,1087.724,1132.085,992.523,1094.474
Operating income or loss(figures in $M),PDCO,243.699,157.002,210.607,102.936
Interest expense(figures in $M),PDCO,27.531,20.288,24.284,41.787
Total other income/expenses net(figures in $M),PDCO,37.287,129.54,13.608,-651.556
Income before tax(figures in $M),PDCO,253.455,266.254,199.931,-590.407
Income tax expense(figures in $M),PDCO,58.3,64.54,44.822,-1.04
Income from continuing operations(figures in $M),PDCO,195.155,201.714,155.109,-589.367
Net income(figures in $M),PDCO,196.47,203.21,155.981,-588.446
Net income available to common shareholders(figures in $M),PDCO,196.47,203.21,155.981,-588.446
Basic EPS(figures in $M),PDCO,,2.09e-06,1.6299999999999999e-06,-6.25e-06
Diluted EPS(figures in $M),PDCO,,2.06e-06,1.61e-06,-6.25e-06
Basic average shares(figures in $M),PDCO,,97.277,95.599,94.154
Diluted average shares(figures in $M),PDCO,,98.514,96.664,94.154
EBITDA(figures in $M),PDCO,,368.534,303.111,-466.438
