,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),DOV,380.868,385.504,513.075,397.253
Total cash(figures in $M),DOV,380.868,385.504,513.075,397.253
Net receivables(figures in $M),DOV,1516.871,1347.514,1137.223,1217.19
Inventory(figures in $M),DOV,1366.608,1191.095,835.804,806.141
Other current assets(figures in $M),DOV,159.118,0.0,0.0,0.0
Total current assets(figures in $M),DOV,3423.465,3061.709,2619.187,2548.43
"Gross property, plant and equipment(figures in $M)",DOV,2578.497,2462.443,2403.425,2232.129
Accumulated depreciation(figures in $M),DOV,-1573.672,-1505.133,-1506.099,-1389.811
"Net property, plant and equipment(figures in $M)",DOV,1004.825,957.31,897.326,842.318
Goodwill(figures in $M),DOV,4669.494,4558.822,4072.542,3783.347
Intangible assets(figures in $M),DOV,1333.735,1359.522,1083.772,1055.014
Other long-term assets(figures in $M),DOV,465.0,466.264,479.247,440.368
Total non-current assets(figures in $M),DOV,7473.054,7341.918,6532.887,6121.047
Total assets(figures in $M),DOV,10896.519,10403.627,9152.074,8669.477
Current debt(figures in $M),DOV,735.772,105.702,0.0,84.7
Accounts payable(figures in $M),DOV,1068.144,1073.568,853.942,983.293
Taxes payable(figures in $M),DOV,31.427,91.999,17.67,17.748
Accrued liabilities(figures in $M),DOV,291.431,312.018,295.495,1665.191
Deferred revenues(figures in $M),DOV,256.933,227.549,184.845,44.001
Total current liabilities(figures in $M),DOV,2773.274,2250.341,1738.798,1749.891
Long-term debt(figures in $M),DOV,2942.513,3018.714,3108.829,2985.716
Deferred tax liabilities(figures in $M),DOV,894.366,945.044,918.674,901.21
Deferred revenues(figures in $M),DOV,19.879,21.513,13.921,9.121
Other long-term liabilities(figures in $M),DOV,78.937,112.485,112.046,116.618
Total non-current liabilities(figures in $M),DOV,3836.879,3963.758,4027.503,3886.926
Total liabilities(figures in $M),DOV,6610.153,6214.099,5766.301,5636.817
Common stock(figures in $M),DOV,259.644,259.457,258.982,258.552
Retained earnings(figures in $M),DOV,10223.07,9445.245,8608.284,8211.257
Accumulated other comprehensive income(figures in $M),DOV,-266.223,-154.052,-153.254,-216.026
Total stockholders' equity(figures in $M),DOV,4286.366,4189.528,3385.773,3032.66
Total liabilities and stockholders' equity(figures in $M),DOV,10896.519,10403.627,9152.074,8669.477
