,ticker,2023,2024,2025,2026
Revenue(In $M),DOV,"8,805","9,173","9,593","9,927"
Dividend,DOV,2.08,2.16,1.90,-
Dividend Yield (in %),DOV,1.44 %,1.48 %,1.50 %,-
EPS,DOV,8.99,9.81,10.70,11.55
P/E Ratio,DOV,15.80,14.48,13.28,12.30
EBIT(In $M),DOV,"1,591","1,722","1,812","1,886"
EBITDA(In $M),DOV,"1,876","2,000","2,117","2,210"
Net Profit(In $M),DOV,"1,261","1,362","1,433","1,511"
Net Profit Adjusted(In $M),DOV,"1,261","1,362","1,433","1,511"
Pre-Tax Profit(In $M),DOV,"1,497","1,634","1,764","1,740"
Net Profit (Adjusted)(In $M),DOV,"1,478","1,614","1,762",-
EPS (Non-GAAP) ex. SOE(In $),DOV,8.36,8.81,9.46,-
EPS (GAAP)(In $),DOV,8.13,9.06,9.88,10.25
Gross Income(In $M),DOV,"3,234","3,391","3,571","3,673"
Cash Flow from Investing(In $M),DOV,-59,-66,50,-
Cash Flow from Operations(In $M),DOV,"1,505","1,554","1,614","1,657"
Cash Flow from Financing(In $M),DOV,-525,-820,-674,-
Cash Flow per Share(In $),DOV,11.22,11.19,11.82,-
Free Cash Flow(In $M),DOV,"1,302","1,346","1,434","1,496"
Free Cash Flow per Share(In $),DOV,8.90,10.10,11.24,12.15
Book Value per Share(In $),DOV,35.56,39.87,44.51,-
Net Debt(In $M),DOV,"2,575","1,780","1,651",268
Research & Development Exp.(In $M),DOV,-,-,-,-
Capital Expenditure(In $M),DOV,191,196,202,206
"Selling, General & Admin. Exp.(In $M)",DOV,"1,656","1,696","1,761","1,852"
Shareholder’s Equity(In $M),DOV,"4,655","5,272","6,065","6,496"
Total Assets(In $M),DOV,"10,792","11,361","12,953","12,677"
