,ticker,2023,2024,2025,2026,2027
Revenue(In $M),ORLY,"15,514","16,407","17,246","17,844","18,603"
Dividend,ORLY,0.00,0.00,0.00,-,-
Dividend Yield (in %),ORLY,-,-,-,-,-
EPS,ORLY,37.28,41.63,45.81,51.75,58.13
P/E Ratio,ORLY,25.03,22.42,20.37,18.03,16.06
EBIT(In $M),ORLY,"3,138","3,355","3,565","3,694","3,869"
EBITDA(In $M),ORLY,"3,540","3,795","3,993","4,088","3,869"
Net Profit(In $M),ORLY,"2,285","2,444","2,591","2,627","2,747"
Net Profit Adjusted(In $M),ORLY,"2,292","2,470","2,627",-,-
Pre-Tax Profit(In $M),ORLY,"2,964","3,169","3,361","3,434","3,591"
Net Profit (Adjusted)(In $M),ORLY,"2,977","3,178","3,341",-,-
EPS (Non-GAAP) ex. SOE(In $),ORLY,37.28,41.63,45.81,51.75,58.13
EPS (GAAP)(In $),ORLY,37.33,41.84,46.46,-,-
Gross Income(In $M),ORLY,"7,925","8,406","8,834","9,187","9,587"
Cash Flow from Investing(In $M),ORLY,-819,-680,-667,-714,-744
Cash Flow from Operations(In $M),ORLY,"2,935","3,116","3,362","3,166","3,381"
Cash Flow from Financing(In $M),ORLY,"-1,857","-2,135","-2,164","-2,413","-2,663"
Cash Flow per Share(In $),ORLY,43.74,49.58,59.06,-,-
Free Cash Flow(In $M),ORLY,"2,134","2,316","2,499","2,591",-
Free Cash Flow per Share(In $),ORLY,34.27,41.05,46.73,-,-
Book Value per Share(In $),ORLY,-25.75,-34.89,-26.25,-,-
Net Debt(In $M),ORLY,"5,299","5,694","5,151",-,-
Research & Development Exp.(In $M),ORLY,-,-,-,-,-
Capital Expenditure(In $M),ORLY,781,688,701,714,744
"Selling, General & Admin. Exp.(In $M)",ORLY,"4,790","5,060","5,274","5,493","5,717"
Shareholder’s Equity(In $M),ORLY,"-1,641","-1,851","-1,916","-4,348","-5,013"
Total Assets(In $M),ORLY,"13,451","14,095","14,927","14,876","15,242"
