,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),SE,6029.859,9247.762,6166.88,3118.988
Other short-term investments(figures in $M),SE,864.258,911.281,126.099,102.324
Total cash(figures in $M),SE,6894.117,10159.043,6292.979,3221.312
Net receivables(figures in $M),SE,268.814,388.308,362.999,187.035
Inventory(figures in $M),SE,109.668,117.499,64.219,26.932
Other current assets(figures in $M),SE,1798.651,1401.863,1054.229,535.187
Total current assets(figures in $M),SE,12688.012,15135.397,8939.004,4410.139
"Gross property, plant and equipment(figures in $M)",SE,2345.735,1679.643,620.956,501.585
Accumulated depreciation(figures in $M),SE,-935.784,-599.95,-368.606,-214.282
"Net property, plant and equipment(figures in $M)",SE,2345.735,1679.643,620.956,501.585
Equity and other investments(figures in $M),SE,1253.593,1052.861,190.482,113.797
Goodwill(figures in $M),SE,230.208,539.624,216.278,30.952
Intangible assets(figures in $M),SE,65.019,52.517,39.773,15.02
Other long-term assets(figures in $M),SE,17.724,38.743,27.321,16.652
Total non-current assets(figures in $M),SE,4314.784,3620.628,1516.667,814.03
Total assets(figures in $M),SE,17002.796,18756.025,10455.671,5224.169
Current debt(figures in $M),SE,119.647,100.0,0.0,30.739
Accounts payable(figures in $M),SE,258.648,213.58,121.637,69.37
Taxes payable(figures in $M),SE,176.598,181.4,52.306,27.212
Accrued liabilities(figures in $M),SE,1396.613,3531.187,2033.461,980.805
Deferred revenues(figures in $M),SE,1535.083,2889.037,2311.544,1162.93
Total current liabilities(figures in $M),SE,6935.692,7176.436,4636.067,2362.366
Long-term debt(figures in $M),SE,3338.75,3475.708,1840.406,1356.69
Deferred tax liabilities(figures in $M),SE,9.967,6.992,1.526,0.975
Deferred revenues(figures in $M),SE,63.566,104.826,343.297,160.708
Other long-term liabilities(figures in $M),SE,0.107,0.107,0.107,0.976
Total non-current liabilities(figures in $M),SE,4256.28,4155.18,2399.365,1689.151
Total liabilities(figures in $M),SE,11191.972,11331.616,7035.432,4051.517
Common stock(figures in $M),SE,0.281,0.278,0.255,0.23
Retained earnings(figures in $M),SE,-8745.541,-7201.498,-5150.958,-3530.585
Accumulated other comprehensive income(figures in $M),SE,-98.725,-22.375,7.044,5.495
Total stockholders' equity(figures in $M),SE,5715.705,7398.697,3382.912,1162.424
Total liabilities and stockholders' equity(figures in $M),SE,17002.796,18756.025,10455.671,5224.169
