,2021,2020,ticker
Current ratio,1.666,0,MON
Quick ratio,534.694,0,MON
Cash ratio,1.296,0,MON
Days of sales outstanding,0,0,MON
Days of inventory outstanding,0,0,MON
Days of payables outstanding,0,0,MON
Gross profit margin,0,0,MON
Operating profit margin,0,0,MON
Pretax profit margin,0,0,MON
Net profit margin,0,0,MON
Effective tax rate,0,0,MON
Return on assets,26.050,0,MON
Return on equity,-355.810,0,MON
Return on capital employed,-4.514,0,MON
Net income per EBT,1,0,MON
Ebt per ebit,-5.781,0,MON
Ebit per revenue,0,0,MON
Debt ratio,0.076,0,MON
Debt equity ratio,-1.044,0,MON
Long term debt to capitalization,0,0,MON
Total debt to capitalization,0,0,MON
Interest coverage,0,0,MON
Cash flow to debt ratio,0,0,MON
Company equity multiplier,-13.659,0,MON
Receivables turnover,0,0,MON
Payables turnover,0,0,MON
Inventory turnover,0,0,MON
Fixed asset turnover,0,0,MON
Asset turnover,0,0,MON
Operating cash flow per share,-0.000,-0.000,MON
Free cash flow per share,-0.000,-0.000,MON
Payout ratio,0,0,MON
Operating cash flow sales ratio,0,0,MON
Free cash flow operating cash flow ratio,1,1,MON
Cash flow coverage ratios,0,0,MON
Short term coverage ratios,0,0,MON
Capital expenditure coverage ratio,0,0,MON
Dividend paid and capex coverage ratio,0,0,MON
Dividend payout ratio,0,0,MON
Price book value ratio,-16.521 K,0,MON
Price to book ratio,-16.521 K,0,MON
Price to sales ratio,0,0,MON
Price earnings ratio,46.431,0,MON
Price to free cash flows ratio,-361.946 M,-5.530 M,MON
Price to operating cash flows ratio,-361.946 M,-5.530 M,MON
Price cash flow ratio,-361.946 M,-5.530 M,MON
Price earnings to growth ratio,0,0,MON
Price sales ratio,0,0,MON
Dividend yield,0,0,MON
Enterprise value multiple,46.431,0,MON
Price fair value,-16.521 K,0,MON
