,ticker,2023,2024,2025,2026,2027
Revenue(In $M),AAPL,"388,282","415,829","439,693","479,623","531,898"
Dividend,AAPL,0.97,1.03,0.98,1.02,1.05
Dividend Yield (in %),AAPL,0.64 %,0.67 %,0.64 %,0.67 %,0.69 %
EPS,AAPL,5.95,6.60,7.23,6.96,7.72
P/E Ratio,AAPL,27.89,25.14,22.93,23.83,21.49
EBIT(In $M),AAPL,"113,106","121,889","129,859","156,291","172,741"
EBITDA(In $M),AAPL,"124,823","133,792","140,840","148,216","163,935"
Net Profit(In $M),AAPL,"93,941","101,134","107,862","112,618","125,426"
Net Profit Adjusted(In $M),AAPL,"95,241","101,897","108,379","121,634","134,713"
Pre-Tax Profit(In $M),AAPL,"112,278","121,231","130,745","145,670","161,333"
Net Profit (Adjusted)(In $M),AAPL,"112,786","122,624","130,644","146,138","159,625"
EPS (Non-GAAP) ex. SOE(In $),AAPL,5.97,6.58,7.07,7.92,8.72
EPS (GAAP)(In $),AAPL,5.95,6.60,7.23,6.96,7.72
Gross Income(In $M),AAPL,"168,307","181,012","191,968","213,389","233,308"
Cash Flow from Investing(In $M),AAPL,"-6,681","-6,916","-6,884","-12,128","-12,249"
Cash Flow from Operations(In $M),AAPL,"108,945","125,224","134,287","140,163","154,161"
Cash Flow from Financing(In $M),AAPL,"-100,513","-94,344","-81,909","-16,446","-17,008"
Cash Flow per Share(In $),AAPL,6.85,8.07,8.93,-,-
Free Cash Flow(In $M),AAPL,"94,221","108,381","112,174","128,035","141,912"
Free Cash Flow per Share(In $),AAPL,5.97,7.04,7.54,7.92,8.74
Book Value per Share(In $),AAPL,3.78,5.06,6.83,-,-
Net Debt(In $M),AAPL,"-62,243","-29,407","-71,599","-406,547","-531,451"
Research & Development Exp.(In $M),AAPL,"30,196","32,057","32,621","35,987","38,330"
Capital Expenditure(In $M),AAPL,"12,143","12,628","13,498","12,128","12,249"
"Selling, General & Admin. Exp.(In $M)",AAPL,"26,090","28,013","29,099","31,037","32,949"
Shareholder’s Equity(In $M),AAPL,"59,065","74,310","117,464","396,043","515,583"
Total Assets(In $M),AAPL,"345,125","372,581","442,607","740,348","880,501"
