,2022,2021,2020,2019,2018,ticker
Current ratio,0.879,1.075,1.364,1.540,1.124,AAPL
Quick ratio,0.709,0.910,1.218,1.384,0.987,AAPL
Cash ratio,0.154,0.278,0.361,0.462,0.222,AAPL
Days of sales outstanding,56.400,51.391,49.788,64.259,67.332,AAPL
Days of inventory outstanding,8.076,11.277,8.742,9.264,8.818,AAPL
Operating cycle,64.476,62.668,58.529,73.522,76.150,AAPL
Days of payables outstanding,104.685,93.851,91.048,104.314,124.570,AAPL
Cash conversion cycle,-40.209,-31.184,-32.519,-30.792,-48.420,AAPL
Gross profit margin,0.433,0.418,0.382,0.378,0.383,AAPL
Operating profit margin,0.303,0.298,0.241,0.246,0.267,AAPL
Pretax profit margin,0.302,0.299,0.244,0.253,0.274,AAPL
Net profit margin,0.253,0.259,0.209,0.212,0.224,AAPL
Effective tax rate,0.162,0.133,0.144,0.159,0.183,AAPL
Return on assets,0.283,0.270,0.177,0.163,0.163,AAPL
Return on equity,1.970,1.501,0.879,0.611,0.556,AAPL
Return on capital employed,0.601,0.483,0.303,0.275,0.285,AAPL
Net income per EBT,0.838,0.867,0.856,0.841,0.817,AAPL
Ebt per ebit,0.997,1.002,1.012,1.028,1.028,AAPL
Ebit per revenue,0.303,0.298,0.241,0.246,0.267,AAPL
Debt ratio,0.856,0.820,0.798,0.733,0.707,AAPL
Debt equity ratio,2.370,1.977,1.721,1.194,1.068,AAPL
Long term debt to capitalization,0.661,0.634,0.602,0.504,0.467,AAPL
Total debt to capitalization,0.703,0.664,0.632,0.544,0.517,AAPL
Interest coverage,40.750,41.191,23.073,17.878,21.882,AAPL
Cash flow to debt ratio,1.017,0.834,0.718,0.642,0.676,AAPL
Company equity multiplier,6.962,5.564,4.957,3.741,3.413,AAPL
Receivables turnover,6.472,7.102,7.331,5.680,5.421,AAPL
Payables turnover,3.487,3.889,4.009,3.499,2.930,AAPL
Inventory turnover,45.197,32.368,41.753,39.401,41.394,AAPL
Fixed asset turnover,9.363,9.275,7.467,6.961,6.430,AAPL
Asset turnover,1.118,1.042,0.848,0.769,0.726,AAPL
Operating cash flow per share,7.533,6.229,4.649,3.757,3.907,AAPL
Free cash flow per share,6.872,5.566,4.228,3.189,3.235,AAPL
Cash per share,2.979,3.751,5.241,5.444,3.345,AAPL
Payout ratio,0.149,0.153,0.245,0.256,0.230,AAPL
Operating cash flow sales ratio,0.310,0.284,0.294,0.267,0.292,AAPL
Free cash flow operating cash flow ratio,0.912,0.893,0.909,0.849,0.828,AAPL
Cash flow coverage ratios,1.017,0.834,0.718,0.642,0.676,AAPL
Short term coverage ratios,5.786,6.664,5.859,4.273,3.732,AAPL
Capital expenditure coverage ratio,-11.407,-9.385,-11.038,-6.612,-5.816,AAPL
Dividend paid and capex coverage ratio,29.555,30.762,11.913,19.148,194.070,AAPL
Dividend payout ratio,0.149,0.153,0.245,0.256,0.230,AAPL
Price book value ratio,48.140,38.893,29.818,11.167,10.440,AAPL
Price to book ratio,48.140,38.893,29.818,11.167,10.440,AAPL
Price to sales ratio,6.186,6.708,7.097,3.884,4.212,AAPL
Price earnings ratio,24.442,25.916,33.936,18.287,18.791,AAPL
Price to free cash flows ratio,21.889,26.398,26.556,17.157,17.446,AAPL
Price to operating cash flows ratio,19.970,23.585,24.150,14.562,14.446,AAPL
Price cash flow ratio,19.970,23.585,24.150,14.562,14.446,AAPL
Price earnings to growth ratio,2.887,0.363,3.171,-54.861,0.641,AAPL
Price sales ratio,6.186,6.708,7.097,3.884,4.212,AAPL
Dividend yield,0.006,0.006,0.007,0.014,0.012,AAPL
Enterprise value multiple,19.425,21.155,26.152,13.987,14.758,AAPL
Price fair value,48.140,38.893,29.818,11.167,10.440,AAPL
