,headline,final_score,datetime
0,Humana Inc. stock outperforms market despite losses on the day,90,2023-05-04 10:01:00
1,Humana and Longevity Health Partner to Expand Access to Special Needs Plans for Medicare Beneficiaries,60,2023-05-04 06:42:00
2,TD Cowen Maintains Humana (HUM) Outperform Recommendation,86,2023-05-02 12:48:45
3,"Humana Inc. stock falls Tuesday, still outperforms market",90,2023-05-02 10:00:00
4,IN BRIEF: Hummingbird Kouroussa gold mine commissioning phase to start,60,2023-05-02 01:44:00
5,Humana price target raised to $616 from $581 at TD Cowen,86,2023-05-01 23:21:00
6,Humana Inc. to Present at the BofA Securities 2023 Healthcare Conference,90,2023-05-01 13:30:00
7,"Humana Inc. stock rises Monday, outperforms market",90,2023-05-01 10:00:00
8,Brokers Suggest Investing in Humana (HUM): Read This Before Placing a Bet,86,2023-05-01 06:30:01
11,Humana Inc. stock outperforms competitors on strong trading day,90,2023-04-28 10:00:00
12,Wells Fargo Reaffirms Their Buy Rating on Humana (HUM),86,2023-04-27 21:25:00
13,RBC Capital Reiterates Humana (HUM) Outperform Recommendation,86,2023-04-27 13:36:18
14,SVB Securities Maintains Humana (HUM) Outperform Recommendation,86,2023-04-27 13:36:17
15,Oppenheimer Reiterates Humana (HUM) Outperform Recommendation,86,2023-04-27 13:36:15
16,Stephens & Co. Reiterates Humana (HUM) Overweight Recommendation,86,2023-04-27 13:36:15
19,Humana (HUM) Receives a Rating Update from a Top Analyst,86,2023-04-27 04:26:00
20,Stephens Remains a Buy on Humana (HUM),86,2023-04-27 04:25:00
21,RBC Capital Sticks to Its Buy Rating for Humana (HUM),86,2023-04-27 04:25:00
23,Humana price target raised to $568 from $562 at Deutsche Bank,86,2023-04-27 01:31:00
24,Humana price target lowered to $600 from $640 at SVB Securities,86,2023-04-27 00:43:00
25,"Analysts Are Bullish on Top Healthcare Stocks: Edwards Lifesciences (EW), Humana (HUM)",60,2023-04-26 23:21:00
26,"Analysts Offer Insights on Healthcare Companies: Boston Scientific (BSX), Humana (HUM) and Illumina (ILMN)",60,2023-04-26 21:20:00
27,"Notable Thursday Option Activity: HUM, AWK, ADI",60,2023-04-26 18:31:00
28,Humana: Leadership In Medicare Advantage Underpins Recession-Resilient Value,86,2023-04-26 16:30:21
29,Humana lifts profit outlook as medical costs drop in govt plans,86,2023-04-26 09:19:51
30,"Humana's Q1: Strong Earnings Growth On Strength Of Medicare Advantage Business, Lifts FY23 Outlook",60,2023-04-26 09:07:48
31,Humana (HUM) Q1 Earnings Beat on Growing Membership & Premiums,86,2023-04-26 08:14:03
32,Humana Inc. (HUM) Q1 2023 Earnings Call Transcript,90,2023-04-26 06:25:10
