,ticker,2023,2024,2025
Revenue(In $M),UNM,"12,302","12,722","13,030"
Dividend,UNM,1.38,1.48,1.63
Dividend Yield (in %),UNM,3.43 %,3.66 %,3.99 %
EPS,UNM,7.14,7.56,8.14
P/E Ratio,UNM,6.02,5.68,5.28
EBIT(In $M),UNM,"1,677","1,712","1,683"
EBITDA(In $M),UNM,"1,990","2,070","1,867"
Net Profit(In $M),UNM,"1,398","1,443","1,474"
Net Profit Adjusted(In $M),UNM,"1,377","1,428","1,466"
Pre-Tax Profit(In $M),UNM,"1,768","1,826","1,870"
Net Profit (Adjusted)(In $M),UNM,"1,766","1,753",-
EPS (Non-GAAP) ex. SOE(In $),UNM,7.14,7.56,8.14
EPS (GAAP)(In $),UNM,6.86,7.31,7.98
Gross Income(In $M),UNM,-,-,-
Cash Flow from Investing(In $M),UNM,-,-,-
Cash Flow from Operations(In $M),UNM,"2,145","2,248",-
Cash Flow from Financing(In $M),UNM,-,-,-
Cash Flow per Share(In $),UNM,10.96,11.92,-
Free Cash Flow(In $M),UNM,167,162,-
Free Cash Flow per Share(In $),UNM,3.29,-,-
Book Value per Share(In $),UNM,62.27,68.82,71.15
Net Debt(In $M),UNM,"3,431","3,431","3,431"
Research & Development Exp.(In $M),UNM,-,-,-
Capital Expenditure(In $M),UNM,-,-,-
"Selling, General & Admin. Exp.(In $M)",UNM,-,-,-
Shareholder’s Equity(In $M),UNM,"10,281","10,592","11,277"
Total Assets(In $M),UNM,"65,289","69,402","73,771"
