,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),1314.2,1314.2,824.2,793.0,1100.3,UNM
Depreciation & amortisation(figures in $M),110.5,110.5,119.8,113.6,110.1,UNM
Change in working capital(figures in $M),145.4,145.4,1136.8,2011.6,664.4,UNM
Accounts receivable(figures in $M),0.0,0.0,0.0,242.9,37.5,UNM
Other working capital(figures in $M),1316.5,1316.5,1277.2,478.4,1590.7,UNM
Other non-cash items(figures in $M),85.5,85.5,-361.9,-1001.1,81.5,UNM
Net cash provided by operating activities(figures in $M),1418.7,1418.7,1387.5,597.5,1741.6,UNM
"Investments in property, plant and equipment(figures in $M)",-102.2,-102.2,-110.3,-119.1,-150.9,UNM
"Acquisitions, net(figures in $M)",0.0,0.0,0.0,0.0,0.0,UNM
Purchases of investments(figures in $M),-3340.8,-3340.8,-4713.1,-3743.3,-4590.9,UNM
Sales/maturities of investments(figures in $M),2537.9,2537.9,3533.5,3280.2,3719.7,UNM
Other investing activities(figures in $M),-50.8,-50.8,-50.7,314.5,-371.4,UNM
Net cash used for investing activities(figures in $M),-955.9,-955.9,-1340.6,-267.7,-1393.5,UNM
Debt repayment(figures in $M),-364.0,-364.0,-500.0,-480.0,-493.1,UNM
Common stock issued(figures in $M),4.0,4.0,3.4,4.4,6.1,UNM
Common stock repurchased(figures in $M),-200.1,-200.1,-50.0,0.0,-400.3,UNM
Dividends paid(figures in $M),-254.2,-254.2,-239.4,-231.9,-229.2,UNM
Other financing activities(figures in $M),46.5,46.5,29.0,-3.5,-83.4,UNM
Net cash used provided by (used for) financing activities(figures in $M),-418.6,-418.6,-168.9,-216.9,-358.0,UNM
Net change in cash(figures in $M),44.2,44.2,-122.0,112.9,-9.9,UNM
Cash at beginning of period(figures in $M),75.0,75.0,197.0,84.1,94.0,UNM
Cash at end of period(figures in $M),119.2,119.2,75.0,197.0,84.1,UNM
Operating cash flow(figures in $M),1418.7,1418.7,1387.5,597.5,1741.6,UNM
Capital expenditure(figures in $M),-102.2,-102.2,-110.3,-119.1,-150.9,UNM
Free cash flow(figures in $M),1316.5,1316.5,1277.2,478.4,1590.7,UNM
