,2022,2021,2020,2019,2018,ticker
Current ratio,15.767,0,0,19.420,0,UNM
Quick ratio,68.505,0,0,19.420,0,UNM
Cash ratio,0.618,0,0,0.210,0,UNM
Days of sales outstanding,356.163,28.236 K,339.928,194.186,197.563,UNM
Days of inventory outstanding,0,0,0,0,0,UNM
Days of payables outstanding,0,0,0,0,0,UNM
Gross profit margin,0.961,1,1,1,0,UNM
Operating profit margin,0.152,7.761,0.088,0.130,0,UNM
Pretax profit margin,0.136,6.611,0.073,0.115,0.054,UNM
Net profit margin,0.110,5.126,0.060,0.092,0.045,UNM
Effective tax rate,0.194,0.225,0.177,0.204,0.166,UNM
Return on assets,0.021,0.012,0.011,0.016,0.008,UNM
Return on equity,0.143,0.072,0.073,0.110,0.061,UNM
Return on capital employed,0.030,0.018,0.016,0.023,0,UNM
Net income per EBT,0.806,0.775,0.823,0.796,0.834,UNM
Ebt per ebit,0.896,0.852,0.837,0.886,0,UNM
Ebit per revenue,0.152,7.761,0.088,0.130,0,UNM
Debt ratio,0.850,0.837,0,0.851,0.861,UNM
Debt equity ratio,0.373,0.302,0.308,0.374,0.345,UNM
Long term debt to capitalization,0.272,0.232,0.235,0.250,0.256,UNM
Total debt to capitalization,0.272,0.232,0.235,0.272,0.256,UNM
Interest coverage,9.655,6.746,6.122,8.791,0,UNM
Cash flow to debt ratio,0.413,0.403,0.179,0.467,0.517,UNM
Company equity multiplier,6.680,6.142,6.497,6.725,7.177,UNM
Receivables turnover,1.025,0.013,1.074,1.880,1.848,UNM
Payables turnover,0,0,0,0,0,UNM
Inventory turnover,0,0,0,0,0,UNM
Fixed asset turnover,26.546,0.348,26.430,22.466,21.208,UNM
Asset turnover,0.195,0.002,0.186,0.179,0.187,UNM
Operating cash flow per share,7.071,6.794,2.935,8.305,6.997,UNM
Free cash flow per share,6.561,6.254,2.350,7.586,6.341,UNM
Cash per share,7.546,7.163,8.188,6.574,4.837,UNM
Payout ratio,0.193,0.290,0.292,0.208,0.412,UNM
Operating cash flow sales ratio,0.118,8.629,0.045,0.145,0.132,UNM
Free cash flow operating cash flow ratio,0.928,0.921,0.801,0.913,0.906,UNM
Cash flow coverage ratios,0.413,0.403,0.179,0.467,0.517,UNM
Short term coverage ratios,709.350,0,0,4.357,0,UNM
Capital expenditure coverage ratio,-13.882,-12.579,-5.017,-11.541,-10.663,UNM
Dividend paid and capex coverage ratio,9.334,10.747,5.297,22.243,21.490,UNM
Dividend payout ratio,0.193,0.290,0.292,0.208,0.412,UNM
Price book value ratio,0.895,0.440,0.430,0.614,0.748,UNM
Price to book ratio,0.895,0.440,0.430,0.614,0.748,UNM
Price to sales ratio,0.687,31.206,0.355,0.510,0.556,UNM
Price earnings ratio,6.264,6.088,5.890,5.557,12.327,UNM
Price to free cash flows ratio,6.253,3.929,9.763,3.844,4.634,UNM
Price to operating cash flows ratio,5.803,3.617,7.817,3.511,4.199,UNM
Price cash flow ratio,5.803,3.617,7.817,3.511,4.199,UNM
Price earnings to growth ratio,0.101,1.579,-0.227,0.046,-0.269,UNM
Price sales ratio,0.687,31.206,0.355,0.510,0.556,UNM
Dividend yield,0.031,0.048,0.050,0.037,0.033,UNM
Enterprise value multiple,5.980,6.130,6.177,5.605,10.406,UNM
Price fair value,0.895,0.440,0.430,0.614,0.748,UNM
