,ticker,2023,2024,2025,2026,2027
Revenue(In $M),SBUX,"36,132","40,381","44,734","49,873","57,380"
Dividend,SBUX,2.12,2.29,2.44,2.89,-
Dividend Yield (in %),SBUX,2.15 %,2.32 %,2.49 %,2.91 %,-
EPS,SBUX,3.43,4.10,4.83,5.79,7.27
P/E Ratio,SBUX,30.50,25.54,21.64,18.08,14.39
EBIT(In $M),SBUX,"5,700","6,649","7,580","8,734","10,202"
EBITDA(In $M),SBUX,"7,082","8,153","9,196","11,188","12,557"
Net Profit(In $M),SBUX,"3,945","4,628","5,295","6,013","7,172"
Net Profit Adjusted(In $M),SBUX,"3,947","4,628","5,298","6,013","7,172"
Pre-Tax Profit(In $M),SBUX,"5,233","6,129","7,010","7,968","9,562"
Net Profit (Adjusted)(In $M),SBUX,"5,133","6,069","7,067",-,-
EPS (Non-GAAP) ex. SOE(In $),SBUX,3.43,4.10,4.83,5.79,7.27
EPS (GAAP)(In $),SBUX,3.42,4.10,4.80,5.37,-
Gross Income(In $M),SBUX,"24,681","27,758","26,413","35,548","39,549"
Cash Flow from Investing(In $M),SBUX,"-2,271","-2,622","-2,981","-3,449",-
Cash Flow from Operations(In $M),SBUX,"5,804","6,709","7,660","9,003",-
Cash Flow from Financing(In $M),SBUX,"-2,968","-3,785","-5,223","-3,809",-
Cash Flow per Share(In $),SBUX,4.48,5.70,6.67,-,-
Free Cash Flow(In $M),SBUX,"3,555","4,183","4,927",-,-
Free Cash Flow per Share(In $),SBUX,2.84,3.10,3.39,-,-
Book Value per Share(In $),SBUX,-6.92,-7.59,-9.72,-,-
Net Debt(In $M),SBUX,"12,206","14,166","17,058",-,-
Research & Development Exp.(In $M),SBUX,-,-,-,-,-
Capital Expenditure(In $M),SBUX,"1,814","1,989","1,723","3,380",-
"Selling, General & Admin. Exp.(In $M)",SBUX,"2,375","2,512",-,-,-
Shareholder’s Equity(In $M),SBUX,"-7,995","-9,194","-11,824","-14,346",-
Total Assets(In $M),SBUX,"29,468","31,083","37,762","41,463",-
