,ticker,2023,2024,2025,2026
Revenue(In $M),AA,"11,082","12,294","12,491",-
Dividend,AA,0.37,0.34,0.32,-
Dividend Yield (in %),AA,0.67 %,0.67 %,0.71 %,-
EPS,AA,0.95,3.76,4.62,-
P/E Ratio,AA,36.80,9.33,7.60,44.97
EBIT(In $M),AA,604,"1,962","1,885",-
EBITDA(In $M),AA,"1,211","2,269","2,402",-
Net Profit(In $M),AA,195,721,800,-
Net Profit Adjusted(In $M),AA,195,683,825,-
Pre-Tax Profit(In $M),AA,215,"1,319","1,460",-
Net Profit (Adjusted)(In $M),AA,102,"1,147","1,043",-
EPS (Non-GAAP) ex. SOE(In $),AA,0.95,3.76,4.62,-
EPS (GAAP)(In $),AA,-0.27,4.19,3.29,-
Gross Income(In $M),AA,"2,058","2,281","2,308",-
Cash Flow from Investing(In $M),AA,-111,-179,332,-
Cash Flow from Operations(In $M),AA,328,"1,528",497,-
Cash Flow from Financing(In $M),AA,107,1,-,-
Cash Flow per Share(In $),AA,2.54,10.24,8.45,-
Free Cash Flow(In $M),AA,54,"1,058",-630,-
Free Cash Flow per Share(In $),AA,-0.02,3.96,6.88,-
Book Value per Share(In $),AA,27.72,31.07,36.07,-
Net Debt(In $M),AA,426,-180,"-1,144",-
Research & Development Exp.(In $M),AA,35,34,40,-
Capital Expenditure(In $M),AA,571,640,623,-
"Selling, General & Admin. Exp.(In $M)",AA,208,217,238,-
Shareholder’s Equity(In $M),AA,"5,970","6,317","6,437",-
Total Assets(In $M),AA,"14,310","14,688",-,-
