,2020,ticker
Asset turnover,3.434,FRX
Capital expenditure coverage ratio,0,FRX
Cash conversion cycle,19.736,FRX
Cash flow coverage ratios,0,FRX
Cash flow to debt ratio,0,FRX
Cash per share,0.080,FRX
Cash ratio,0.922,FRX
Company equity multiplier,3.959,FRX
Current ratio,5.085,FRX
Days of inventory outstanding,19.736,FRX
Days of payables outstanding,0,FRX
Days of sales outstanding,0,FRX
Debt equity ratio,0.567,FRX
Debt ratio,0.143,FRX
Dividend paid and capex coverage ratio,0,FRX
Dividend yield,0,FRX
Ebit per revenue,0.098,FRX
Ebt per ebit,-0.072,FRX
Effective tax rate,-2.478,FRX
Fixed asset turnover,12.163 K,FRX
Free cash flow operating cash flow ratio,0,FRX
Gross profit margin,0.711,FRX
Interest coverage,161.398,FRX
Inventory turnover,18.494,FRX
Long term debt to capitalization,0,FRX
Net income per EBT,3.478,FRX
Net profit margin,-0.025,FRX
Operating cycle,19.736,FRX
Operating profit margin,0.098,FRX
Payables turnover,0,FRX
Pretax profit margin,-0.007,FRX
Price cash flow ratio,0,FRX
Price to free cash flows ratio,0,FRX
Price to operating cash flows ratio,0,FRX
Quick ratio,0.922,FRX
Receivables turnover,0,FRX
Return on assets,-0.085,FRX
Return on capital employed,0.343,FRX
Return on equity,-0.337,FRX
Short term coverage ratios,0,FRX
Total debt to capitalization,0,FRX
