,ticker,2023,2024,2025
Revenue(In $M),BLK,"18,216","20,188","22,121"
Dividend,BLK,-,21.38,23.51
Dividend Yield (in %),BLK,3.21 %,3.45 %,3.81 %
EPS,BLK,35.08,40.12,45.81
P/E Ratio,BLK,18.25,15.96,13.98
EBIT(In $M),BLK,"6,645","7,587","8,527"
EBITDA(In $M),BLK,"7,379","8,349","9,097"
Net Profit(In $M),BLK,"5,236","5,945","6,271"
Net Profit Adjusted(In $M),BLK,"5,240","5,957","6,263"
Pre-Tax Profit(In $M),BLK,"6,990","7,925","8,955"
Net Profit (Adjusted)(In $M),BLK,"6,932","7,706","8,436"
EPS (Non-GAAP) ex. SOE(In $),BLK,35.08,40.12,45.81
EPS (GAAP)(In $),BLK,34.43,39.16,44.47
Gross Income(In $M),BLK,"8,920","10,004","10,732"
Cash Flow from Investing(In $M),BLK,3,119,"1,316"
Cash Flow from Operations(In $M),BLK,-,"7,284","8,760"
Cash Flow from Financing(In $M),BLK,-,"-4,279",-
Cash Flow per Share(In $),BLK,-,-,47.71
Free Cash Flow(In $M),BLK,"5,882","6,697","7,220"
Free Cash Flow per Share(In $),BLK,43.94,51.66,-
Book Value per Share(In $),BLK,-,-,296.96
Net Debt(In $M),BLK,"-2,704","-5,315","-3,990"
Research & Development Exp.(In $M),BLK,0,0,-
Capital Expenditure(In $M),BLK,414,343,370
"Selling, General & Admin. Exp.(In $M)",BLK,-,-,-
Shareholder’s Equity(In $M),BLK,"32,031","29,911","40,134"
Total Assets(In $M),BLK,"118,774","119,920",-
