,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),DOW,56902.0,56902.0,54968.0,38542.0,42951.0
Cost of revenue(figures in $M),DOW,48338.0,48338.0,44191.0,33346.0,36657.0
Gross profit(figures in $M),DOW,8564.0,8564.0,10777.0,5196.0,6294.0
Research development(figures in $M),DOW,851.0,851.0,857.0,768.0,765.0
Selling general and administrative(figures in $M),DOW,1675.0,1675.0,1645.0,1471.0,1590.0
Total operating expenses(figures in $M),DOW,2862.0,2862.0,2890.0,2640.0,2774.0
Operating income or loss(figures in $M),DOW,5702.0,5702.0,7887.0,2556.0,3520.0
Interest expense(figures in $M),DOW,662.0,662.0,731.0,827.0,933.0
Total other income/expenses net(figures in $M),DOW,877.0,877.0,934.0,304.0,-3915.0
Income before tax(figures in $M),DOW,6090.0,6090.0,8145.0,2071.0,-1247.0
Income tax expense(figures in $M),DOW,1450.0,1450.0,1740.0,777.0,470.0
Income from continuing operations(figures in $M),DOW,4640.0,4640.0,6405.0,1294.0,-1717.0
Net income(figures in $M),DOW,4582.0,4582.0,6311.0,1225.0,-1359.0
Net income available to common shareholders(figures in $M),DOW,4582.0,4582.0,6311.0,1225.0,-1359.0
Basic EPS(figures in $M),DOW,,,8.439999999999999e-06,1.64e-06,-1.8400000000000002e-06
Diluted EPS(figures in $M),DOW,,,8.380000000000001e-06,1.64e-06,-1.8400000000000002e-06
Basic average shares(figures in $M),DOW,,,743.6,740.5,742.5
Diluted average shares(figures in $M),DOW,,,749.0,742.3,742.5
EBITDA(figures in $M),DOW,,9510.0,11718.0,5772.0,2624.0
