,ticker,2023,2024,2025,2026
Revenue(In $M),DOW,"49,329","51,709","53,540","59,058"
Dividend,DOW,2.82,2.88,3.06,3.00
Dividend Yield (in %),DOW,5.43 %,5.55 %,5.82 %,5.73 %
EPS,DOW,3.20,4.80,5.69,6.14
P/E Ratio,DOW,16.84,11.22,9.47,8.76
EBIT(In $M),DOW,"3,713","5,041","5,692","6,305"
EBITDA(In $M),DOW,"6,398","7,819","8,566","9,396"
Net Profit(In $M),DOW,"2,250","3,349","3,850","4,325"
Net Profit Adjusted(In $M),DOW,"2,272","3,348","3,841","4,325"
Pre-Tax Profit(In $M),DOW,"3,077","4,563","5,204","5,767"
Net Profit (Adjusted)(In $M),DOW,"2,687","4,697","5,290",-
EPS (Non-GAAP) ex. SOE(In $),DOW,3.24,4.98,6.02,6.14
EPS (GAAP)(In $),DOW,2.68,4.74,5.78,-
Gross Income(In $M),DOW,"6,334","7,661","8,414",-
Cash Flow from Investing(In $M),DOW,"-2,166","-2,484","-2,734",-
Cash Flow from Operations(In $M),DOW,"4,885","5,815","6,270",-
Cash Flow from Financing(In $M),DOW,"-2,941","-3,167","-3,767",-
Cash Flow per Share(In $),DOW,6.84,7.90,8.62,-
Free Cash Flow(In $M),DOW,"2,458","3,271","3,505","4,040"
Free Cash Flow per Share(In $),DOW,2.87,4.54,4.87,-
Book Value per Share(In $),DOW,28.11,28.89,30.86,-
Net Debt(In $M),DOW,"11,489","11,055","10,427","7,541"
Research & Development Exp.(In $M),DOW,-,-,-,-
Capital Expenditure(In $M),DOW,"2,269","2,461","2,779","3,248"
"Selling, General & Admin. Exp.(In $M)",DOW,-,-,"1,677",-
Shareholder’s Equity(In $M),DOW,"19,870","19,882","20,092",-
Total Assets(In $M),DOW,"60,145","60,616","59,496",-
