,ticker,2023,2024,2025,2026
Revenue(In $M),QCOM,"36,485","40,002","40,776","42,000"
Dividend,QCOM,3.05,3.19,3.33,4.14
Dividend Yield (in %),QCOM,2.60 %,2.71 %,2.79 %,-
EPS,QCOM,8.52,9.88,10.04,10.25
P/E Ratio,QCOM,12.54,10.81,10.64,10.42
EBIT(In $M),QCOM,"11,688","13,155","13,287","14,130"
EBITDA(In $M),QCOM,"13,679","14,903","15,296",-
Net Profit(In $M),QCOM,"9,451","10,798","10,910","11,586"
Net Profit Adjusted(In $M),QCOM,"9,480","10,783","10,960","11,586"
Pre-Tax Profit(In $M),QCOM,"11,114","12,601","12,828","13,630"
Net Profit (Adjusted)(In $M),QCOM,"9,337","11,747","12,060",-
EPS (Non-GAAP) ex. SOE(In $),QCOM,6.34,7.45,8.22,-
EPS (GAAP)(In $),QCOM,6.41,7.83,8.28,-
Gross Income(In $M),QCOM,"20,524","22,407","22,159","23,730"
Cash Flow from Investing(In $M),QCOM,-368,"-2,458","-2,242",-
Cash Flow from Operations(In $M),QCOM,"11,597","13,556","12,960",-
Cash Flow from Financing(In $M),QCOM,"-7,221","-6,842","-7,335",-
Cash Flow per Share(In $),QCOM,10.07,11.50,12.51,-
Free Cash Flow(In $M),QCOM,"9,310","12,014","11,458",-
Free Cash Flow per Share(In $),QCOM,8.00,9.69,11.94,-
Book Value per Share(In $),QCOM,18.44,22.42,26.87,-
Net Debt(In $M),QCOM,"5,926","1,394","-2,138",-
Research & Development Exp.(In $M),QCOM,"7,266","7,539","8,055","7,400"
Capital Expenditure(In $M),QCOM,"1,732","1,835","1,863",-
"Selling, General & Admin. Exp.(In $M)",QCOM,"1,927","2,049","2,188","2,200"
Shareholder’s Equity(In $M),QCOM,"20,650","24,332","27,917",-
Total Assets(In $M),QCOM,"49,896","53,272","56,109",-
