,ticker,2023,2024,2025,2026
Revenue(In $M),ANF,"3,678","3,769","3,835","3,848"
Dividend,ANF,0.40,0.00,0.00,0.00
Dividend Yield (in %),ANF,1.50 %,1.37 %,0.91 %,-
EPS,ANF,0.29,1.48,1.99,2.20
P/E Ratio,ANF,74.88,14.72,10.95,9.93
EBIT(In $M),ANF,105,168,194,169
EBITDA(In $M),ANF,262,320,341,322
Net Profit(In $M),ANF,14,74,98,89
Net Profit Adjusted(In $M),ANF,14,74,98,89
Pre-Tax Profit(In $M),ANF,76,144,168,149
Net Profit (Adjusted)(In $M),ANF,77,135,192,-
EPS (Non-GAAP) ex. SOE(In $),ANF,0.29,1.48,1.99,2.20
EPS (GAAP)(In $),ANF,0.21,1.38,2.23,3.10
Gross Income(In $M),ANF,"2,114","2,232","2,319",-
Cash Flow from Investing(In $M),ANF,-158,-160,-160,-
Cash Flow from Operations(In $M),ANF,192,197,245,-
Cash Flow from Financing(In $M),ANF,-136,-100,-100,-
Cash Flow per Share(In $),ANF,3.14,4.49,5.99,8.50
Free Cash Flow(In $M),ANF,52,116,125,-
Free Cash Flow per Share(In $),ANF,2.03,5.09,3.66,-
Book Value per Share(In $),ANF,15.73,16.25,17.64,17.23
Net Debt(In $M),ANF,-331,-301,-329,-311
Research & Development Exp.(In $M),ANF,-,-,-,-
Capital Expenditure(In $M),ANF,164,159,160,176
"Selling, General & Admin. Exp.(In $M)",ANF,"1,232","1,256","1,289",-
Shareholder’s Equity(In $M),ANF,721,692,678,446
Total Assets(In $M),ANF,"2,884","2,734","2,769",-
