,2022,2021,2020,2019,2018,ticker
Current ratio,1.022,1.002,1.132,1.011,1.018,COST
Quick ratio,0.415,0.475,0.598,0.472,0.448,COST
Cash ratio,0.319,0.382,0.494,0.361,0.304,COST
Days of sales outstanding,3.604,3.359,3.393,3.669,4.303,COST
Days of inventory outstanding,32.782,30.398,30.829,31.299,32.721,COST
Operating cycle,36.386,33.757,34.222,34.968,37.023,COST
Days of payables outstanding,32.674,34.810,35.689,32.079,33.304,COST
Cash conversion cycle,3.712,-1.053,-1.468,2.889,3.719,COST
Gross profit margin,0.121,0.129,0.131,0.130,0.130,COST
Operating profit margin,0.027,0.026,0.023,0.022,0.032,COST
Pretax profit margin,0.035,0.034,0.032,0.031,0.031,COST
Net profit margin,0.026,0.026,0.024,0.024,0.022,COST
Effective tax rate,0.246,0.240,0.244,0.223,0.284,COST
Return on assets,0.091,0.084,0.072,0.081,0.077,COST
Return on equity,0.283,0.285,0.219,0.240,0.245,COST
Return on capital employed,0.190,0.170,0.126,0.154,0.214,COST
Net income per EBT,0.745,0.750,0.746,0.768,0.706,COST
Ebt per ebit,1.286,1.318,1.383,1.392,0.992,COST
Ebit per revenue,0.027,0.026,0.023,0.022,0.032,COST
Debt ratio,0.678,0.695,0.663,0.657,0.679,COST
Debt equity ratio,0.438,0.577,0.556,0.448,0.507,COST
Long term debt to capitalization,0.303,0.347,0.355,0.252,0.336,COST
Total debt to capitalization,0.305,0.366,0.357,0.309,0.336,COST
Interest coverage,38.595,29.649,24.262,22.820,28.176,COST
Cash flow to debt ratio,0.818,0.884,0.872,0.932,0.890,COST
Company equity multiplier,3.109,3.374,3.039,2.978,3.190,COST
Receivables turnover,101.274,108.668,107.588,99.481,84.827,COST
Payables turnover,11.171,10.486,10.227,11.378,10.960,COST
Inventory turnover,11.134,12.007,11.839,11.662,11.155,COST
Fixed asset turnover,8.277,7.427,6.780,7.310,7.194,COST
Asset turnover,3.537,3.306,3.002,3.364,3.467,COST
Operating cash flow per share,16.662,20.217,20.034,14.454,13.167,COST
Free cash flow per share,7.891,12.119,13.681,7.636,6.397,COST
Cash per share,24.905,27.478,30.082,21.476,16.554,COST
Payout ratio,0.256,1.148,0.370,0.284,0.220,COST
Operating cash flow sales ratio,0.033,0.046,0.053,0.042,0.041,COST
Free cash flow operating cash flow ratio,0.474,0.599,0.683,0.528,0.486,COST
Cash flow coverage ratios,0.818,0.884,0.872,0.932,0.890,COST
Short term coverage ratios,101.260,11.212,93.274,3.741,0,COST
Capital expenditure coverage ratio,-1.900,-2.497,-3.153,-2.120,-1.945,COST
Dividend paid and capex coverage ratio,-3.089,4.147,-6.657,-3.243,-2.532,COST
Dividend payout ratio,0.256,1.148,0.370,0.284,0.220,COST
Price book value ratio,11.414,11.502,8.410,8.504,7.987,COST
Price to book ratio,11.414,11.502,8.410,8.504,7.987,COST
Price to sales ratio,1.038,1.031,0.922,0.849,0.722,COST
Price earnings ratio,40.316,40.347,38.423,35.426,32.620,COST
Price to free cash flows ratio,67.297,37.620,25.412,38.601,36.446,COST
Price to operating cash flows ratio,31.873,22.552,17.353,20.394,17.705,COST
Price cash flow ratio,31.873,22.552,17.353,20.394,17.705,COST
Price earnings to growth ratio,2.436,1.623,4.379,2.165,1.916,COST
Price sales ratio,1.038,1.031,0.922,0.849,0.722,COST
Dividend yield,0.006,0.028,0.010,0.008,0.007,COST
Enterprise value multiple,29.312,29.323,27.440,26.055,17.130,COST
Price fair value,11.414,11.502,8.410,8.504,7.987,COST
