,ticker,2023,2024,2025,2026
Revenue(In $M),KLAC,-,-,-,"11,366"
Dividend,KLAC,5.11,5.47,5.35,7.30
Dividend Yield (in %),KLAC,1.34 %,1.44 %,1.39 %,-
EPS,KLAC,-,-,-,31.52
P/E Ratio,KLAC,15.50,19.33,15.63,12.02
EBIT(In $M),KLAC,-,-,-,"4,257"
EBITDA(In $M),KLAC,-,-,-,"4,897"
Net Profit(In $M),KLAC,"3,460","2,694","3,295","3,540"
Net Profit Adjusted(In $M),KLAC,"3,477","2,698","3,346","3,540"
Pre-Tax Profit(In $M),KLAC,"3,953","3,113","3,868","4,093"
Net Profit (Adjusted)(In $M),KLAC,"3,847","3,162","3,831",-
EPS (Non-GAAP) ex. SOE(In $),KLAC,-,-,-,31.52
EPS (GAAP)(In $),KLAC,23.76,19.19,24.53,29.40
Gross Income(In $M),KLAC,"6,386","5,522","6,380","7,249"
Cash Flow from Investing(In $M),KLAC,-266,-101,265,-
Cash Flow from Operations(In $M),KLAC,"3,651","3,413","3,325","4,024"
Cash Flow from Financing(In $M),KLAC,"-2,744","-2,517","-2,798",-
Cash Flow per Share(In $),KLAC,27.28,23.17,25.92,33.55
Free Cash Flow(In $M),KLAC,"3,517","2,702","2,910","3,124"
Free Cash Flow per Share(In $),KLAC,23.95,18.77,20.15,-
Book Value per Share(In $),KLAC,18.02,19.16,22.95,17.00
Net Debt(In $M),KLAC,"2,981","2,716","2,378","4,244"
Research & Development Exp.(In $M),KLAC,"1,288","1,296","1,360",-
Capital Expenditure(In $M),KLAC,228,179,217,35
"Selling, General & Admin. Exp.(In $M)",KLAC,890,879,936,-
Shareholder’s Equity(In $M),KLAC,"2,578","2,896","3,437","2,038"
Total Assets(In $M),KLAC,"13,327","13,805","15,121",-
