,ticker,2023,2024,2025
Revenue(In $M),MET,"69,531","71,807","74,605"
Dividend,MET,-,2.17,2.32
Dividend Yield (in %),MET,2.83 %,3.68 %,3.92 %
EPS,MET,8.20,9.18,9.99
P/E Ratio,MET,7.17,6.41,5.89
EBIT(In $M),MET,"8,290","8,000","8,203"
EBITDA(In $M),MET,"8,634","9,184","9,791"
Net Profit(In $M),MET,"6,267","6,677","6,885"
Net Profit Adjusted(In $M),MET,"6,300","6,677","6,885"
Pre-Tax Profit(In $M),MET,"8,407","8,926","9,066"
Net Profit (Adjusted)(In $M),MET,"8,346","8,889",-
EPS (Non-GAAP) ex. SOE(In $),MET,8.20,9.18,9.99
EPS (GAAP)(In $),MET,7.55,8.55,8.87
Gross Income(In $M),MET,-,-,-
Cash Flow from Investing(In $M),MET,"6,857","6,665",-
Cash Flow from Operations(In $M),MET,"8,187","8,956",-
Cash Flow from Financing(In $M),MET,-,-,-
Cash Flow per Share(In $),MET,10.42,12.04,-
Free Cash Flow(In $M),MET,793,788,-
Free Cash Flow per Share(In $),MET,5.68,-,-
Book Value per Share(In $),MET,58.89,65.13,73.00
Net Debt(In $M),MET,80,80,80
Research & Development Exp.(In $M),MET,-,-,-
Capital Expenditure(In $M),MET,"2,874","2,979",-
"Selling, General & Admin. Exp.(In $M)",MET,-,-,-
Shareholder’s Equity(In $M),MET,"41,243","42,810","41,172"
Total Assets(In $M),MET,"688,901","718,654","749,196"
