,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),2539.0,2539.0,6554.0,5407.0,5899.0,MET
Depreciation & amortisation(figures in $M),673.0,673.0,694.0,619.0,630.0,MET
Change in working capital(figures in $M),4837.0,4837.0,4582.0,4853.0,7425.0,MET
Accounts receivable(figures in $M),256.0,256.0,389.0,842.0,-514.0,MET
Other working capital(figures in $M),13204.0,13204.0,12596.0,11639.0,13786.0,MET
Other non-cash items(figures in $M),-3725.0,-3725.0,-3500.0,-3313.0,-5318.0,MET
Net cash provided by operating activities(figures in $M),13204.0,13204.0,12596.0,11639.0,13786.0,MET
"Acquisitions, net(figures in $M)",-2949.0,-2949.0,-3227.0,-3663.0,-1706.0,MET
Purchases of investments(figures in $M),-104644.0,-104644.0,-109321.0,-94566.0,-91901.0,MET
Sales/maturities of investments(figures in $M),108428.0,108428.0,93000.0,83193.0,81180.0,MET
Other investing activities(figures in $M),-28.0,-28.0,-46.0,139.0,-131.0,MET
Net cash used for investing activities(figures in $M),-2620.0,-2620.0,-11187.0,-18569.0,-17586.0,MET
Debt repayment(figures in $M),-85.0,-85.0,-582.0,-99.0,-906.0,MET
Common stock repurchased(figures in $M),-3326.0,-3326.0,-4803.0,-2154.0,-2285.0,MET
Dividends paid(figures in $M),-1783.0,-1783.0,-1842.0,-1859.0,-1821.0,MET
Other financing activities(figures in $M),4803.0,4803.0,3940.0,8218.0,6179.0,MET
Net cash used provided by (used for) financing activities(figures in $M),-10108.0,-10108.0,-1375.0,10729.0,4568.0,MET
Net change in cash(figures in $M),79.0,79.0,-444.0,3962.0,777.0,MET
Cash at beginning of period(figures in $M),20116.0,20116.0,20560.0,16598.0,15821.0,MET
Cash at end of period(figures in $M),20195.0,20195.0,20047.0,19795.0,16598.0,MET
Operating cash flow(figures in $M),13204.0,13204.0,12596.0,11639.0,13786.0,MET
Free cash flow(figures in $M),13204.0,13204.0,12596.0,11639.0,13786.0,MET
