,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),BBY,"46,297","44,594","44,833","45,646","47,097","47,903"
Dividend,BBY,3.50,3.68,3.95,4.19,5.00,6.00
Dividend Yield (in %),BBY,4.68 %,4.97 %,5.30 %,5.54 %,6.68 %,8.02 %
EPS,BBY,6.60,6.22,7.04,7.73,9.68,11.44
P/E Ratio,BBY,10.85,11.51,10.19,9.27,7.40,6.27
EBIT(In $M),BBY,"1,921","1,773","1,924","1,992","1,993","2,050"
EBITDA(In $M),BBY,"2,826","2,716","2,889","2,941","2,830","2,901"
Net Profit(In $M),BBY,-,"1,349","1,460","1,501","1,495","1,538"
Net Profit Adjusted(In $M),BBY,-,"1,350","1,461","1,501","1,495","1,538"
Pre-Tax Profit(In $M),BBY,"1,891","1,777","1,920","1,974","1,980","2,037"
Net Profit (Adjusted)(In $M),BBY,"1,862","1,797","2,060",-,-,-
EPS (Non-GAAP) ex. SOE(In $),BBY,6.60,6.22,7.04,7.73,9.68,11.44
EPS (GAAP)(In $),BBY,6.29,6.26,6.95,7.56,-,-
Gross Income(In $M),BBY,"9,888","9,756","9,887","10,091","10,367","10,545"
Cash Flow from Investing(In $M),BBY,-966,-852,-888,-874,-862,-877
Cash Flow from Operations(In $M),BBY,"1,764","2,335","2,657","2,714","2,891","2,910"
Cash Flow from Financing(In $M),BBY,"-1,965","-1,564","-1,912","-1,534","-2,472","-2,507"
Cash Flow per Share(In $),BBY,10.26,11.34,11.24,13.12,-,-
Free Cash Flow(In $M),BBY,578,"1,538","1,471","1,727",-,-
Free Cash Flow per Share(In $),BBY,2.97,7.28,9.03,11.61,-,-
Book Value per Share(In $),BBY,12.92,12.47,11.76,7.93,-,-
Net Debt(In $M),BBY,-248,135,383,"1,270",-,-
Research & Development Exp.(In $M),BBY,-,-,-,-,-,-
Capital Expenditure(In $M),BBY,981,875,916,923,862,877
"Selling, General & Admin. Exp.(In $M)",BBY,"7,923","7,975","7,971","8,114","8,373","8,495"
Shareholder’s Equity(In $M),BBY,"2,900","2,681","2,421","2,047","-1,186","-2,155"
Total Assets(In $M),BBY,"16,399","15,975","15,982","17,195","14,596","13,755"
