,2022,2021,2019,2018,ticker
Current ratio,1.909,1.774,1.894,2.078,FOSL
Quick ratio,0.945,0.977,0.876,1.220,FOSL
Cash ratio,0.468,0.566,0.358,0.666,FOSL
Days of sales outstanding,49.792,51.991,47.680,48.128,FOSL
Days of inventory outstanding,140.127,127.873,147.625,121.873,FOSL
Operating cycle,189.919,179.864,195.306,170.001,FOSL
Days of payables outstanding,92.856,77.171,56.201,51.517,FOSL
Cash conversion cycle,97.062,102.693,139.105,118.485,FOSL
Gross profit margin,0.517,0.478,0.496,0.527,FOSL
Operating profit margin,0.050,-0.060,-0.005,0.025,FOSL
Pretax profit margin,0.028,-0.107,-0.014,0.008,FOSL
Net profit margin,0.014,-0.059,-0.023,-0.001,FOSL
Effective tax rate,0.499,0.442,-0.597,1.047,FOSL
Return on assets,0.019,-0.065,-0.031,-0.002,FOSL
Return on equity,0.055,-0.218,-0.099,-0.006,FOSL
Return on capital employed,0.111,-0.105,-0.010,0.065,FOSL
Net income per EBT,0.478,0.558,1.597,-0.172,FOSL
Ebt per ebit,0.573,1.785,3.133,0.322,FOSL
Ebit per revenue,0.050,-0.060,-0.005,0.025,FOSL
Debt ratio,0.660,0.702,0.686,0.626,FOSL
Debt equity ratio,0.680,1.041,0.980,0.677,FOSL
Long term debt to capitalization,0.404,0.486,0.481,0.315,FOSL
Total debt to capitalization,0.405,0.510,0.495,0.404,FOSL
Interest coverage,3.693,-3.028,-0.334,1.475,FOSL
Cash flow to debt ratio,0.158,0.221,-0.029,0.626,FOSL
Company equity multiplier,2.941,3.360,3.185,2.690,FOSL
Receivables turnover,7.330,7.020,7.655,7.584,FOSL
Payables turnover,3.931,4.730,6.495,7.085,FOSL
Inventory turnover,2.605,2.854,2.472,2.995,FOSL
Fixed asset turnover,6.993,4.734,5.044,13.873,FOSL
Asset turnover,1.366,1.091,1.382,1.613,FOSL
Operating cash flow per share,0.963,1.981,-0.283,5.043,FOSL
Free cash flow per share,0.765,1.771,-0.764,4.678,FOSL
Cash per share,4.827,6.182,3.986,8.216,FOSL
Payout ratio,0,0,0,0,FOSL
Operating cash flow sales ratio,0.027,0.063,-0.006,0.098,FOSL
Free cash flow operating cash flow ratio,0.794,0.894,2.699,0.928,FOSL
Cash flow coverage ratios,0.158,0.221,-0.029,0.626,FOSL
Short term coverage ratios,83.382,2.434,-0.542,1.963,FOSL
Capital expenditure coverage ratio,-4.860,-9.467,0.588,-13.815,FOSL
Dividend paid and capex coverage ratio,-4.860,-9.467,0.588,-13.815,FOSL
Dividend payout ratio,0,0,0,0,FOSL
Price book value ratio,1.149,1.007,0.772,1.364,FOSL
Price to book ratio,1.149,1.007,0.772,1.364,FOSL
Price to sales ratio,0.286,0.275,0.175,0.314,FOSL
Price earnings ratio,21.050,-4.621,-7.776,-229.591,FOSL
Price to free cash flows ratio,13.456,4.895,-10.136,3.469,FOSL
Price to operating cash flows ratio,10.687,4.378,-27.362,3.218,FOSL
Price cash flow ratio,10.687,4.378,-27.362,3.218,FOSL
Price earnings to growth ratio,0.167,0.053,0.006,-2.312,FOSL
Price sales ratio,0.286,0.275,0.175,0.314,FOSL
Dividend yield,0,0,0,0,FOSL
Enterprise value multiple,5.493,-5.789,15.229,6.196,FOSL
Price fair value,1.149,1.007,0.772,1.364,FOSL
