,ticker,2023,2024,2025,2026,2027
Revenue(In $M),XEL,"14,799","15,212","15,817","17,140","17,681"
Dividend,XEL,2.07,2.20,2.33,2.49,2.65
Dividend Yield (in %),XEL,3.16 %,3.36 %,3.57 %,3.80 %,4.02 %
EPS,XEL,3.38,3.62,3.85,4.04,4.28
P/E Ratio,XEL,20.46,19.13,17.95,17.13,16.14
EBIT(In $M),XEL,"2,759","2,992","3,241","3,350","3,575"
EBITDA(In $M),XEL,"5,304","5,728","6,185","6,600","7,054"
Net Profit(In $M),XEL,"1,862","2,004","2,138","2,242","2,386"
Net Profit Adjusted(In $M),XEL,"1,862","2,004","2,144","2,242","2,386"
Pre-Tax Profit(In $M),XEL,"1,863","2,012","2,166","2,105","2,244"
Net Profit (Adjusted)(In $M),XEL,"1,782","1,925","2,051",-,-
EPS (Non-GAAP) ex. SOE(In $),XEL,3.38,3.62,3.85,4.04,4.28
EPS (GAAP)(In $),XEL,3.38,3.63,3.85,4.05,4.31
Gross Income(In $M),XEL,"8,759","9,109","9,411",-,-
Cash Flow from Investing(In $M),XEL,"-5,409","-6,209","-6,299","-6,305","-6,305"
Cash Flow from Operations(In $M),XEL,"4,312","4,701","4,925","5,215","5,562"
Cash Flow from Financing(In $M),XEL,269,"1,107",978,443,52
Cash Flow per Share(In $),XEL,8.28,8.87,9.07,-,-
Free Cash Flow(In $M),XEL,-120,-244,-203,-,-
Free Cash Flow per Share(In $),XEL,-1.77,-,-,-,-
Book Value per Share(In $),XEL,31.63,33.16,34.78,-,-
Net Debt(In $M),XEL,"26,174","28,417","30,605","33,779","35,920"
Research & Development Exp.(In $M),XEL,-,-,-,-,-
Capital Expenditure(In $M),XEL,"5,379","6,180","6,264","5,377","6,220"
"Selling, General & Admin. Exp.(In $M)",XEL,"2,762","2,764","2,765",-,-
Shareholder’s Equity(In $M),XEL,"17,434","17,526","18,411","20,062","20,929"
Total Assets(In $M),XEL,"63,992","67,366","70,707","73,040","76,017"
