,ticker,2023,2024,2025,2026,2027
Revenue(In $M),EL,"16,597","18,842","20,586","22,429","24,205"
Dividend,EL,2.52,2.83,3.17,3.26,3.43
Dividend Yield (in %),EL,1.02 %,1.14 %,1.26 %,1.37 %,-
EPS,EL,4.83,7.01,8.30,9.84,12.85
P/E Ratio,EL,43.04,29.66,25.04,21.13,16.18
EBIT(In $M),EL,"2,475","3,503","4,069","4,759","5,920"
EBITDA(In $M),EL,"3,179","4,316","4,932","5,619","6,840"
Net Profit(In $M),EL,"1,740","2,525","2,963","3,360",-
Net Profit Adjusted(In $M),EL,"1,743","2,523","2,962","3,360",-
Pre-Tax Profit(In $M),EL,"2,318","3,338","3,909","4,550","5,692"
Net Profit (Adjusted)(In $M),EL,"2,292","3,522","4,148","4,682","5,692"
EPS (Non-GAAP) ex. SOE(In $),EL,4.83,7.01,8.30,9.84,12.85
EPS (GAAP)(In $),EL,4.33,7.11,8.44,11.27,12.85
Gross Income(In $M),EL,"12,198","13,920","15,281","17,578",-
Cash Flow from Investing(In $M),EL,-986,-714,-942,"-1,673","-1,780"
Cash Flow from Operations(In $M),EL,"2,582","3,120","3,801","5,790","6,390"
Cash Flow from Financing(In $M),EL,"-1,033","-1,644","-1,738","-3,303","-3,522"
Cash Flow per Share(In $),EL,7.45,9.40,11.65,13.09,15.69
Free Cash Flow(In $M),EL,"1,604","2,232","2,922","3,606","4,884"
Free Cash Flow per Share(In $),EL,3.05,4.27,5.21,-,-
Book Value per Share(In $),EL,17.16,18.85,19.49,28.85,22.95
Net Debt(In $M),EL,"2,607","2,407","1,924","1,390","3,399"
Research & Development Exp.(In $M),EL,282,330,355,-,-
Capital Expenditure(In $M),EL,"1,002",977,993,"1,008",992
"Selling, General & Admin. Exp.(In $M)",EL,"9,745","10,461","11,302",-,-
Shareholder’s Equity(In $M),EL,"6,243","7,100","8,290","6,672","7,870"
Total Assets(In $M),EL,"21,909","23,366","25,149","29,833","32,789"
