,ticker,ttm,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total revenue(figures in $M),EL,16356.0,17737.0,16215.0,14294.0,14863.0
Cost of revenue(figures in $M),EL,4267.0,4305.0,3834.0,3552.0,3387.0
Gross profit(figures in $M),EL,12089.0,13432.0,12381.0,10742.0,11476.0
Selling general and administrative(figures in $M),EL,9483.0,9888.0,9371.0,8637.0,8857.0
Total operating expenses(figures in $M),EL,9483.0,9888.0,9371.0,8637.0,8857.0
Operating income or loss(figures in $M),EL,2606.0,3544.0,3010.0,2105.0,2619.0
Interest expense(figures in $M),EL,181.0,167.0,173.0,161.0,133.0
Total other income/expenses net(figures in $M),EL,-566.0,-371.0,443.0,-946.0,-237.0
Income before tax(figures in $M),EL,1916.0,3036.0,3331.0,1046.0,2307.0
Income tax expense(figures in $M),EL,406.0,628.0,456.0,350.0,513.0
Income from continuing operations(figures in $M),EL,1510.0,2408.0,2875.0,696.0,1794.0
Net income(figures in $M),EL,1493.0,2390.0,2870.0,684.0,1785.0
Net income available to common shareholders(figures in $M),EL,1493.0,2390.0,2870.0,684.0,1785.0
Basic EPS(figures in $M),EL,,6.64e-06,7.91e-06,1.8999999999999998e-06,4.9100000000000004e-06
Diluted EPS(figures in $M),EL,,6.55e-06,7.79e-06,1.8600000000000002e-06,4.8200000000000004e-06
Basic average shares(figures in $M),EL,,360.0,362.9,360.6,363.5
Diluted average shares(figures in $M),EL,,364.9,368.2,366.9,370.4
EBITDA(figures in $M),EL,,3930.0,4155.0,1818.0,2997.0
