,ticker,2023,2024,2025,2026,2027
Revenue(In $M),SYK,"19,967","21,397","22,897","24,628","26,084"
Dividend,SYK,2.39,2.58,2.19,3.98,-
Dividend Yield (in %),SYK,1.03 %,1.10 %,1.40 %,1.44 %,-
EPS,SYK,10.14,11.23,12.38,13.56,14.69
P/E Ratio,SYK,28.56,25.79,23.40,21.36,19.73
EBIT(In $M),SYK,"4,795","5,277","5,747","6,247","6,759"
EBITDA(In $M),SYK,"5,201","5,772","6,252","6,722","6,759"
Net Profit(In $M),SYK,"3,884","4,295","4,685","5,167","5,575"
Net Profit Adjusted(In $M),SYK,"3,884","4,295","4,727","5,167","5,575"
Pre-Tax Profit(In $M),SYK,"4,545","5,042","5,558","6,064","6,539"
Net Profit (Adjusted)(In $M),SYK,"4,059","4,535","5,013","5,361",-
EPS (Non-GAAP) ex. SOE(In $),SYK,9.01,10.14,11.18,-,-
EPS (GAAP)(In $),SYK,8.39,9.76,11.03,12.39,-
Gross Income(In $M),SYK,"12,703","13,724","14,739","15,788","16,819"
Cash Flow from Investing(In $M),SYK,94,-27,202,-753,-805
Cash Flow from Operations(In $M),SYK,"4,123","4,671","4,997","5,420","6,016"
Cash Flow from Financing(In $M),SYK,"-2,625","-2,608","-3,640","-1,458","-1,571"
Cash Flow per Share(In $),SYK,8.61,9.57,13.61,-,-
Free Cash Flow(In $M),SYK,"3,260","3,613","4,343","4,857","5,424"
Free Cash Flow per Share(In $),SYK,7.49,8.45,10.81,11.88,-
Book Value per Share(In $),SYK,49.65,55.79,62.57,-,-
Net Debt(In $M),SYK,"8,533","6,220","3,596",-,-
Research & Development Exp.(In $M),SYK,"1,301","1,400","1,493","1,570","1,721"
Capital Expenditure(In $M),SYK,610,702,682,753,805
"Selling, General & Admin. Exp.(In $M)",SYK,"6,621","7,046","7,494","7,971","8,339"
Shareholder’s Equity(In $M),SYK,"18,981","21,499","24,421","29,817","34,069"
Total Assets(In $M),SYK,"38,007","39,579","39,805","45,722","49,885"
