,ticker,2023,2024,2025,2026
Revenue(In $M),FMC,"6,122","6,452","6,733","6,892"
Dividend,FMC,2.34,2.52,2.80,3.04
Dividend Yield (in %),FMC,1.93 %,2.09 %,2.32 %,2.53 %
EPS,FMC,7.76,8.86,9.96,10.43
P/E Ratio,FMC,14.43,12.64,11.24,10.73
EBIT(In $M),FMC,"1,363","1,486","1,609","1,699"
EBITDA(In $M),FMC,"1,536","1,666","1,785","1,835"
Net Profit(In $M),FMC,970,"1,092","1,180","1,220"
Net Profit Adjusted(In $M),FMC,971,"1,094","1,187","1,220"
Pre-Tax Profit(In $M),FMC,"1,144","1,282","1,389","1,428"
Net Profit (Adjusted)(In $M),FMC,"1,147","1,285","1,392",-
EPS (Non-GAAP) ex. SOE(In $),FMC,7.76,8.86,9.96,10.43
EPS (GAAP)(In $),FMC,7.63,8.82,9.90,10.30
Gross Income(In $M),FMC,"2,558","2,764","2,880",-
Cash Flow from Investing(In $M),FMC,-164,-167,-165,-
Cash Flow from Operations(In $M),FMC,866,"1,015","1,210","1,604"
Cash Flow from Financing(In $M),FMC,-233,-683,-737,-
Cash Flow per Share(In $),FMC,7.49,8.53,9.99,10.78
Free Cash Flow(In $M),FMC,649,805,970,"1,094"
Free Cash Flow per Share(In $),FMC,5.62,6.79,6.86,-
Book Value per Share(In $),FMC,29.57,32.62,36.20,40.50
Net Debt(In $M),FMC,"2,785","2,679","2,483","1,533"
Research & Development Exp.(In $M),FMC,339,430,374,388
Capital Expenditure(In $M),FMC,159,164,170,191
"Selling, General & Admin. Exp.(In $M)",FMC,851,912,944,992
Shareholder’s Equity(In $M),FMC,"3,689","3,945","4,339","4,517"
Total Assets(In $M),FMC,"9,978","10,025","12,004",-
