,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),FMC,5802.3,5802.3,5045.2,4642.1,4609.8
Cost of revenue(figures in $M),FMC,3475.5,3475.5,2873.5,2590.1,2526.2
Gross profit(figures in $M),FMC,2326.8,2326.8,2171.7,2052.0,2083.6
Research development(figures in $M),FMC,314.2,314.2,304.7,287.9,298.1
Selling general and administrative(figures in $M),FMC,775.2,775.2,714.1,729.7,792.9
Total operating expenses(figures in $M),FMC,1089.4,1089.4,1018.8,1017.6,1091.0
Operating income or loss(figures in $M),FMC,1237.4,1237.4,1152.9,1034.4,992.6
Interest expense(figures in $M),FMC,151.8,151.8,131.1,151.2,158.5
Total other income/expenses net(figures in $M),FMC,-101.7,-101.7,-128.0,-153.4,-179.1
Income before tax(figures in $M),FMC,983.9,983.9,893.8,729.8,655.0
Income tax expense(figures in $M),FMC,145.2,145.2,91.6,150.9,111.5
Income from continuing operations(figures in $M),FMC,838.7,838.7,802.2,578.9,543.5
Net income(figures in $M),FMC,736.5,736.5,736.5,551.5,477.4
Net income available to common shareholders(figures in $M),FMC,734.8,736.5,736.5,551.5,477.4
Basic EPS(figures in $M),FMC,,5.83e-06,5.76e-06,4.26e-06,3.6400000000000003e-06
Diluted EPS(figures in $M),FMC,,5.8099999999999994e-06,5.73e-06,4.23e-06,3.62e-06
Basic average shares(figures in $M),FMC,,125.975,128.403,129.701,130.8
Diluted average shares(figures in $M),FMC,,126.707,129.146,130.584,132.0
EBITDA(figures in $M),FMC,,1135.7,1024.9,881.0,813.5
