,ticker,ttm,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total revenue(figures in $M),ABC,241805.028,238587.006,213988.843,189893.926,179589.121
Cost of revenue(figures in $M),ABC,233423.067,230290.639,207045.615,184702.042,174450.809
Gross profit(figures in $M),ABC,8381.961,8296.367,6943.228,5191.884,5138.312
Selling general and administrative(figures in $M),ABC,4969.78,4848.962,3594.251,2767.217,2663.508
Total operating expenses(figures in $M),ABC,5659.686,5542.857,4099.423,3158.279,3125.915
Operating income or loss(figures in $M),ABC,2722.275,2753.51,2843.805,2033.605,2012.397
Interest expense(figures in $M),ABC,236.156,210.673,182.544,137.883,157.769
Total other income/expenses net(figures in $M),ABC,-338.651,-359.78,-447.872,-7189.553,-887.522
Income before tax(figures in $M),ABC,2180.307,2183.057,2221.859,-5293.831,967.106
Income tax expense(figures in $M),ABC,487.013,516.517,677.251,-1894.273,112.971
Income from continuing operations(figures in $M),ABC,1693.294,1666.54,1544.608,-3399.558,854.135
Net income(figures in $M),ABC,1729.46,1698.82,1539.932,-3408.716,855.365
Net income available to common shareholders(figures in $M),ABC,1729.46,1698.82,1539.932,-3408.716,855.365
Basic EPS(figures in $M),ABC,,8.15e-06,7.48e-06,-1.6649999999999998e-05,4.07e-06
Diluted EPS(figures in $M),ABC,,8.04e-06,7.3899999999999995e-06,-1.6649999999999998e-05,4.04e-06
Basic average shares(figures in $M),ABC,,208.472,205.919,204.783,210.165
Diluted average shares(figures in $M),ABC,,211.21,208.465,204.783,211.84
EBITDA(figures in $M),ABC,,3087.625,2919.189,-4764.886,1587.282
