,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),SUN,82.0,25.0,97.0,21.0
Total cash(figures in $M),SUN,82.0,25.0,97.0,21.0
Net receivables(figures in $M),SUN,890.0,526.0,295.0,399.0
Inventory(figures in $M),SUN,821.0,534.0,382.0,419.0
Other current assets(figures in $M),SUN,175.0,95.0,62.0,73.0
Total current assets(figures in $M),SUN,1983.0,1192.0,847.0,924.0
"Gross property, plant and equipment(figures in $M)",SUN,3329.0,3107.0,2770.0,2696.0
Accumulated depreciation(figures in $M),SUN,-1036.0,-914.0,-806.0,-692.0
"Net property, plant and equipment(figures in $M)",SUN,2293.0,2193.0,1964.0,2004.0
Equity and other investments(figures in $M),SUN,129.0,132.0,136.0,121.0
Goodwill(figures in $M),SUN,1601.0,1568.0,1564.0,1555.0
Intangible assets(figures in $M),SUN,588.0,542.0,588.0,646.0
Other long-term assets(figures in $M),SUN,236.0,188.0,168.0,188.0
Total non-current assets(figures in $M),SUN,4847.0,4623.0,4420.0,4514.0
Total assets(figures in $M),SUN,6830.0,5815.0,5267.0,5438.0
Current debt(figures in $M),SUN,0.0,6.0,6.0,11.0
Accounts payable(figures in $M),SUN,966.0,515.0,267.0,445.0
Accrued liabilities(figures in $M),SUN,310.0,291.0,282.0,219.0
Other current liabilities(figures in $M),SUN,42.0,56.0,47.0,55.0
Total current liabilities(figures in $M),SUN,1406.0,890.0,653.0,744.0
Long-term debt(figures in $M),SUN,3571.0,3249.0,3106.0,3060.0
Deferred tax liabilities(figures in $M),SUN,156.0,114.0,104.0,109.0
Other long-term liabilities(figures in $M),SUN,111.0,104.0,109.0,97.0
Total non-current liabilities(figures in $M),SUN,4482.0,4114.0,3982.0,3936.0
Total liabilities(figures in $M),SUN,5888.0,5004.0,4635.0,4680.0
Total stockholders' equity(figures in $M),SUN,0.0,0.0,0.0,0.0
Total liabilities and stockholders' equity(figures in $M),SUN,6830.0,5815.0,5267.0,5438.0
