,ticker,2023,2024,2025,2026,2027
Revenue(In $M),SUN,"21,721","21,868",-,-,-
Dividend,SUN,3.31,3.32,3.30,3.30,3.30
Dividend Yield (in %),SUN,7.63 %,7.67 %,7.63 %,7.63 %,7.63 %
EPS,SUN,5.10,5.16,5.68,5.75,6.16
P/E Ratio,SUN,8.79,8.69,7.88,7.79,7.27
EBIT(In $M),SUN,692,678,704,-,-
EBITDA(In $M),SUN,882,898,924,960,988
Net Profit(In $M),SUN,458,461,494,-,-
Net Profit Adjusted(In $M),SUN,481,455,498,-,-
Pre-Tax Profit(In $M),SUN,515,496,535,-,-
Net Profit (Adjusted)(In $M),SUN,460,442,-,-,-
EPS (Non-GAAP) ex. SOE(In $),SUN,4.74,4.79,-,-,-
EPS (GAAP)(In $),SUN,4.28,4.07,-,-,-
Gross Income(In $M),SUN,"1,399","1,417","1,410","1,451","1,479"
Cash Flow from Investing(In $M),SUN,-211,-190,-,-,-
Cash Flow from Operations(In $M),SUN,678,693,624,-,-
Cash Flow from Financing(In $M),SUN,-445,-449,-,-,-
Cash Flow per Share(In $),SUN,-,-,-,-,-
Free Cash Flow(In $M),SUN,498,531,492,581,603
Free Cash Flow per Share(In $),SUN,4.70,5.26,5.60,6.06,6.54
Book Value per Share(In $),SUN,13.17,14.67,-,-,-
Net Debt(In $M),SUN,"3,330","3,207","3,203",-,-
Research & Development Exp.(In $M),SUN,-,-,-,-,-
Capital Expenditure(In $M),SUN,174,163,170,150,150
"Selling, General & Admin. Exp.(In $M)",SUN,140,140,-,-,-
Shareholder’s Equity(In $M),SUN,"1,050","1,141","1,375","1,540",-
Total Assets(In $M),SUN,"6,849","6,847",-,-,-
