,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CME,"5,345","5,513","5,893","6,274","6,585"
Dividend,CME,8.31,9.88,9.24,10.09,-
Dividend Yield (in %),CME,4.47 %,4.62 %,5.08 %,5.46 %,-
EPS,CME,8.65,8.87,9.42,10.33,10.95
P/E Ratio,CME,21.27,20.75,19.54,17.82,16.81
EBIT(In $M),CME,"3,457","3,568","3,849","4,200","4,441"
EBITDA(In $M),CME,"3,617","3,845","4,130","4,343","4,581"
Net Profit(In $M),CME,"3,124","3,209","3,424","3,610","3,953"
Net Profit Adjusted(In $M),CME,"3,128","3,217","3,465","3,714","3,953"
Pre-Tax Profit(In $M),CME,"4,095","4,185","4,388","4,760","5,199"
Net Profit (Adjusted)(In $M),CME,"4,108","4,215","4,664",-,-
EPS (Non-GAAP) ex. SOE(In $),CME,8.65,8.87,9.42,10.33,10.95
EPS (GAAP)(In $),CME,8.53,8.72,9.32,9.82,10.54
Gross Income(In $M),CME,-,-,-,-,-
Cash Flow from Investing(In $M),CME,-,-,-,-,-
Cash Flow from Operations(In $M),CME,"3,452","3,582","3,878","4,073","4,320"
Cash Flow from Financing(In $M),CME,-,-,-,-,-
Cash Flow per Share(In $),CME,9.92,10.58,11.25,-,-
Free Cash Flow(In $M),CME,-,-,"3,765","3,962","4,205"
Free Cash Flow per Share(In $),CME,-,-,9.82,-,-
Book Value per Share(In $),CME,76.69,78.97,84.15,-,-
Net Debt(In $M),CME,238,-419,"-1,767",-843,-
Research & Development Exp.(In $M),CME,211,222,229,-,-
Capital Expenditure(In $M),CME,117,122,127,134,115
"Selling, General & Admin. Exp.(In $M)",CME,"1,705","1,749",-,-,-
Shareholder’s Equity(In $M),CME,"29,729","29,452","34,346",-,-
Total Assets(In $M),CME,"168,131","173,428","194,239",-,-
