,2022,2021,2020,2019,2018,ticker
Current ratio,1.010,1.009,1.012,1.027,1.015,CME
Quick ratio,0.024,0.021,0.025,0.055,0.048,CME
Cash ratio,0.020,0.018,0.019,0.040,0.033,CME
Days of sales outstanding,35.137,33.817,34.478,36.875,46.864,CME
Days of inventory outstanding,0,0,0,0,0,CME
Operating cycle,35.137,33.817,34.478,36.875,46.864,CME
Days of payables outstanding,58.838,21.281,29.532,25.140,62.987,CME
Cash conversion cycle,-23.701,12.536,4.945,11.735,-16.123,CME
Gross profit margin,0.850,0.822,0.825,0.815,0.844,CME
Operating profit margin,0.290,0.564,0.540,0.532,0.605,CME
Pretax profit margin,0.695,0.719,0.557,0.553,0.645,CME
Net profit margin,0.536,0.562,0.431,0.435,0.455,CME
Effective tax rate,0.229,0.218,0.226,0.213,0.293,CME
Return on assets,0.015,0.013,0.017,0.028,0.025,CME
Return on equity,0.100,0.096,0.080,0.081,0.076,CME
Return on capital employed,0.040,0.073,0.072,0.071,0.072,CME
Net income per EBT,0.771,0.781,0.773,0.787,0.706,CME
Ebt per ebit,2.399,1.275,1.032,1.039,1.065,CME
Ebit per revenue,0.290,0.564,0.540,0.532,0.605,CME
Debt ratio,0.846,0.861,0.789,0.652,0.665,CME
Debt equity ratio,0.128,0.126,0.131,0.143,0.170,CME
Long term debt to capitalization,0.113,0.090,0.116,0.125,0.129,CME
Total debt to capitalization,0.113,0.112,0.116,0.125,0.145,CME
Interest coverage,8.940,15.849,15.869,14.538,16.535,CME
Cash flow to debt ratio,0.889,0.697,0.789,0.714,0.555,CME
Company equity multiplier,6.480,7.182,4.736,2.879,2.989,CME
Receivables turnover,10.388,10.793,10.587,9.898,7.789,CME
Payables turnover,6.203,17.152,12.359,14.519,5.795,CME
Inventory turnover,0,0,0,0,0,CME
Fixed asset turnover,11.020,9.281,8.432,8.949,9.604,CME
Asset turnover,0.029,0.024,0.039,0.065,0.056,CME
Operating cash flow per share,8.519,6.704,7.590,7.484,7.130,CME
Free cash flow per share,8.269,6.349,7.038,6.796,6.789,CME
Cash per share,7.851,8.232,4.847,4.577,4.228,CME
Payout ratio,0.979,0.830,1.002,0.801,1.096,CME
Operating cash flow sales ratio,0.609,0.512,0.556,0.549,0.566,CME
Free cash flow operating cash flow ratio,0.971,0.947,0.927,0.908,0.952,CME
Cash flow coverage ratios,0.889,0.697,0.789,0.714,0.555,CME
Short term coverage ratios,191,3.206,0,0,4.251,CME
Capital expenditure coverage ratio,-34.069,-18.887,-13.750,-10.883,-20.915,CME
Dividend paid and capex coverage ratio,1.201,1.165,1.420,1.843,1.200,CME
Dividend payout ratio,0.979,0.830,1.002,0.801,1.096,CME
Price book value ratio,2.244,2.988,2.475,2.744,2.485,CME
Price to book ratio,2.244,2.988,2.475,2.744,2.485,CME
Price to sales ratio,12.018,17.457,13.337,14.726,14.944,CME
Price earnings ratio,22.416,31.052,30.938,33.871,32.821,CME
Price to free cash flows ratio,20.335,35.982,25.865,29.535,27.710,CME
Price to operating cash flows ratio,19.739,34.077,23.984,26.821,26.386,CME
Price cash flow ratio,19.739,34.077,23.984,26.821,26.386,CME
Price earnings to growth ratio,14.876,1.286,-36.693,9.704,-0.628,CME
Price sales ratio,12.018,17.457,13.337,14.726,14.944,CME
Dividend yield,0.044,0.027,0.032,0.024,0.033,CME
Enterprise value multiple,33.590,22.790,21.117,27.333,21.186,CME
Price fair value,2.244,2.988,2.475,2.744,2.485,CME
