,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NWL,"8,506","8,810","9,111","9,257","9,412"
Dividend,NWL,0.89,0.85,0.84,0.92,0.92
Dividend Yield (in %),NWL,7.59 %,7.63 %,7.76 %,-,-
EPS,NWL,0.97,1.28,1.55,1.62,1.66
P/E Ratio,NWL,10.30,7.80,6.47,6.19,6.03
EBIT(In $M),NWL,799,938,"1,072","1,131","1,154"
EBITDA(In $M),NWL,"1,066","1,220","1,350","1,433","1,461"
Net Profit(In $M),NWL,405,533,636,673,691
Net Profit Adjusted(In $M),NWL,405,533,652,673,691
Pre-Tax Profit(In $M),NWL,497,651,787,842,864
Net Profit (Adjusted)(In $M),NWL,357,576,774,842,864
EPS (Non-GAAP) ex. SOE(In $),NWL,0.97,1.28,1.55,1.62,1.66
EPS (GAAP)(In $),NWL,0.70,1.15,1.38,1.62,1.66
Gross Income(In $M),NWL,"2,582","2,750","2,986",-,-
Cash Flow from Investing(In $M),NWL,-261,-279,-266,-,-
Cash Flow from Operations(In $M),NWL,793,906,"1,084",-,-
Cash Flow from Financing(In $M),NWL,-210,-709,"-1,090",-,-
Cash Flow per Share(In $),NWL,2.04,1.96,2.10,2.24,2.29
Free Cash Flow(In $M),NWL,489,588,806,-,-
Free Cash Flow per Share(In $),NWL,1.09,2.13,2.64,-,-
Book Value per Share(In $),NWL,8.33,8.53,9.27,-,-
Net Debt(In $M),NWL,"5,562","5,352","4,274","4,394","4,123"
Research & Development Exp.(In $M),NWL,-,-,-,-,-
Capital Expenditure(In $M),NWL,294,277,275,296,301
"Selling, General & Admin. Exp.(In $M)",NWL,-,"1,842","1,914",-,-
Shareholder’s Equity(In $M),NWL,"3,465","3,630","3,871","4,197","4,506"
Total Assets(In $M),NWL,"13,359","13,293","13,222",-,-
