,ticker,2023,2024,2025
Revenue(In $M),HBAN,"7,522","7,411","7,521"
Dividend,HBAN,0.63,0.66,0.70
Dividend Yield (in %),HBAN,5.50 %,5.76 %,6.27 %
EPS,HBAN,1.46,1.40,1.39
P/E Ratio,HBAN,6.67,6.95,7.01
EBIT(In $M),HBAN,"3,187","3,059","2,877"
EBITDA(In $M),HBAN,-,-,-
Net Profit(In $M),HBAN,"2,149","2,013","1,967"
Net Profit Adjusted(In $M),HBAN,"2,145","2,002","1,660"
Pre-Tax Profit(In $M),HBAN,"2,780","2,612","2,534"
Net Profit (Adjusted)(In $M),HBAN,"2,723","2,597",-
EPS (Non-GAAP) ex. SOE(In $),HBAN,1.43,1.36,1.44
EPS (GAAP)(In $),HBAN,1.46,1.40,1.39
Gross Income(In $M),HBAN,-,-,-
Cash Flow from Investing(In $M),HBAN,-,-,-
Cash Flow from Operations(In $M),HBAN,-,-,-
Cash Flow from Financing(In $M),HBAN,-,-,-
Cash Flow per Share(In $),HBAN,-,-,-
Free Cash Flow(In $M),HBAN,-,-,-
Free Cash Flow per Share(In $),HBAN,-,-,-
Book Value per Share(In $),HBAN,12.08,12.75,13.60
Net Debt(In $M),HBAN,-,-,-
Research & Development Exp.(In $M),HBAN,-,-,-
Capital Expenditure(In $M),HBAN,-,-,-
"Selling, General & Admin. Exp.(In $M)",HBAN,-,-,-
Shareholder’s Equity(In $M),HBAN,"17,730","18,279",-
Total Assets(In $M),HBAN,"191,488","194,430",-
