,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),BA,66608.0,66608.0,62286.0,58158.0,76559.0
Cost of revenue(figures in $M),BA,63106.0,63106.0,59269.0,63843.0,72093.0
Gross profit(figures in $M),BA,3502.0,3502.0,3017.0,-5685.0,4466.0
Research development(figures in $M),BA,2852.0,2852.0,2249.0,2476.0,3219.0
Selling general and administrative(figures in $M),BA,4187.0,4187.0,4157.0,4817.0,3909.0
Total operating expenses(figures in $M),BA,7039.0,7039.0,6406.0,7293.0,7128.0
Operating income or loss(figures in $M),BA,-3537.0,-3537.0,-3389.0,-12978.0,-2662.0
Interest expense(figures in $M),BA,2533.0,2533.0,2682.0,2156.0,722.0
Total other income/expenses net(figures in $M),BA,1048.0,1048.0,1038.0,658.0,1125.0
Income before tax(figures in $M),BA,-5022.0,-5022.0,-5033.0,-14476.0,-2259.0
Income tax expense(figures in $M),BA,31.0,31.0,-743.0,-2535.0,-1623.0
Income from continuing operations(figures in $M),BA,-5053.0,-5053.0,-4290.0,-11941.0,-636.0
Net income(figures in $M),BA,-4935.0,-5053.0,-4290.0,-11941.0,-636.0
Net income available to common shareholders(figures in $M),BA,-4935.0,-4935.0,-4202.0,-11873.0,-636.0
Basic EPS(figures in $M),BA,,-8.3e-06,-7.15e-06,-2.088e-05,-1.12e-06
Diluted EPS(figures in $M),BA,,-8.3e-06,-7.15e-06,-2.088e-05,-1.12e-06
Basic average shares(figures in $M),BA,,594.9,587.692,568.63,567.857
Diluted average shares(figures in $M),BA,,594.9,588.0,569.0,567.857
EBITDA(figures in $M),BA,,-510.0,-207.0,-10074.0,734.0
