,ticker,2023,2024,2025,2026
Revenue(In $M),MAS,"7,866","8,063","8,384","8,765"
Dividend,MAS,1.14,1.17,-,-
Dividend Yield (in %),MAS,2.25 %,2.07 %,2.54 %,-
EPS,MAS,3.34,3.76,4.13,4.44
P/E Ratio,MAS,16.16,14.35,13.04,12.14
EBIT(In $M),MAS,"1,184","1,277","1,391","1,451"
EBITDA(In $M),MAS,"1,336","1,434","1,559","1,600"
Net Profit(In $M),MAS,760,831,906,942
Net Profit Adjusted(In $M),MAS,760,831,906,942
Pre-Tax Profit(In $M),MAS,"1,068","1,166","1,282","1,335"
Net Profit (Adjusted)(In $M),MAS,"1,054","1,138","1,282",-
EPS (Non-GAAP) ex. SOE(In $),MAS,3.34,3.76,4.13,4.44
EPS (GAAP)(In $),MAS,3.37,3.79,4.22,4.44
Gross Income(In $M),MAS,"2,570","2,685","2,848","2,884"
Cash Flow from Investing(In $M),MAS,-237,-208,-222,-230
Cash Flow from Operations(In $M),MAS,"1,089",992,"1,087","1,118"
Cash Flow from Financing(In $M),MAS,-898,-777,-546,-823
Cash Flow per Share(In $),MAS,4.62,4.72,5.09,5.15
Free Cash Flow(In $M),MAS,809,760,848,853
Free Cash Flow per Share(In $),MAS,3.16,3.20,3.48,3.91
Book Value per Share(In $),MAS,-1.47,-0.97,0.39,0.27
Net Debt(In $M),MAS,"2,610","2,558","2,166",-
Research & Development Exp.(In $M),MAS,-,-,-,-
Capital Expenditure(In $M),MAS,250,218,242,265
"Selling, General & Admin. Exp.(In $M)",MAS,-,"1,383","1,405","1,433"
Shareholder’s Equity(In $M),MAS,-277,-211,88,58
Total Assets(In $M),MAS,"5,063","5,270","5,791","5,839"
