,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),MAS,8680.0,8680.0,8375.0,7188.0,6707.0
Cost of revenue(figures in $M),MAS,5967.0,5967.0,5512.0,4601.0,4336.0
Gross profit(figures in $M),MAS,2713.0,2713.0,2863.0,2587.0,2371.0
Selling general and administrative(figures in $M),MAS,1390.0,1390.0,1413.0,1292.0,1274.0
Total operating expenses(figures in $M),MAS,1390.0,1390.0,1413.0,1292.0,1274.0
Operating income or loss(figures in $M),MAS,1323.0,1323.0,1450.0,1295.0,1097.0
Interest expense(figures in $M),MAS,108.0,108.0,278.0,144.0,159.0
Total other income/expenses net(figures in $M),MAS,-22.0,-22.0,-484.0,-20.0,-24.0
Income before tax(figures in $M),MAS,1193.0,1193.0,688.0,1131.0,914.0
Income tax expense(figures in $M),MAS,288.0,288.0,210.0,269.0,230.0
Income from continuing operations(figures in $M),MAS,905.0,905.0,478.0,862.0,684.0
Net income(figures in $M),MAS,846.0,844.0,410.0,1224.0,935.0
Net income available to common shareholders(figures in $M),MAS,842.0,844.0,410.0,1224.0,935.0
Basic EPS(figures in $M),MAS,,3.6499999999999998e-06,1.6299999999999999e-06,4.6e-06,3.2400000000000003e-06
Diluted EPS(figures in $M),MAS,,3.63e-06,1.6200000000000002e-06,4.59e-06,3.22e-06
Basic average shares(figures in $M),MAS,,231.0,249.0,264.0,287.0
Diluted average shares(figures in $M),MAS,,232.0,251.0,264.0,288.0
EBITDA(figures in $M),MAS,,1301.0,966.0,1275.0,1073.0
