,ticker,2023,2024,2025,2026
Revenue(In $M),M,"24,418","23,855","23,773","22,517"
Dividend,M,0.61,0.67,0.70,0.73
Dividend Yield (in %),M,3.22 %,3.52 %,3.66 %,4.06 %
EPS,M,4.17,3.78,3.78,3.86
P/E Ratio,M,3.54,3.90,3.90,3.82
EBIT(In $M),M,"1,705","1,539","1,484","1,324"
EBITDA(In $M),M,"2,570","2,452","2,433","2,247"
Net Profit(In $M),M,"1,164","1,044","1,009",909
Net Profit Adjusted(In $M),M,"1,166","1,044","1,009",909
Pre-Tax Profit(In $M),M,"1,531","1,382","1,333","1,198"
Net Profit (Adjusted)(In $M),M,"1,525","1,447","1,492","1,498"
EPS (Non-GAAP) ex. SOE(In $),M,4.17,3.78,3.78,3.86
EPS (GAAP)(In $),M,4.10,3.61,3.73,3.55
Gross Income(In $M),M,"9,313","9,313","9,298","9,359"
Cash Flow from Investing(In $M),M,"-1,111","-1,000","-1,000",-
Cash Flow from Operations(In $M),M,"1,461","1,494","2,047",-
Cash Flow from Financing(In $M),M,"-1,000",-175,-175,-
Cash Flow per Share(In $),M,5.96,6.38,6.95,7.23
Free Cash Flow(In $M),M,547,"1,053",886,-
Free Cash Flow per Share(In $),M,4.53,5.74,4.42,-
Book Value per Share(In $),M,14.00,17.98,20.86,22.66
Net Debt(In $M),M,"2,149","1,893","1,266","1,098"
Research & Development Exp.(In $M),M,-,-,-,-
Capital Expenditure(In $M),M,"1,143",883,858,751
"Selling, General & Admin. Exp.(In $M)",M,"8,336","8,391","8,425","7,766"
Shareholder’s Equity(In $M),M,"3,900","4,709","5,433","5,691"
Total Assets(In $M),M,"17,351","17,101","18,077",-
