,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MKC,"6,754","6,978","7,192","7,633","7,922"
Dividend,MKC,1.56,1.64,1.73,1.80,1.89
Dividend Yield (in %),MKC,2.18 %,2.30 %,2.41 %,-,-
EPS,MKC,2.63,2.91,3.16,3.33,3.50
P/E Ratio,MKC,33.49,30.29,27.83,26.42,25.14
EBIT(In $M),MKC,"1,027","1,114","1,190","1,248","1,305"
EBITDA(In $M),MKC,"1,246","1,340","1,410","1,478","1,544"
Net Profit(In $M),MKC,708,783,855,899,945
Net Profit Adjusted(In $M),MKC,706,779,852,899,945
Pre-Tax Profit(In $M),MKC,850,951,"1,034","1,089","1,147"
Net Profit (Adjusted)(In $M),MKC,852,958,"1,023","1,089","1,147"
EPS (Non-GAAP) ex. SOE(In $),MKC,2.63,2.91,3.16,3.33,3.50
EPS (GAAP)(In $),MKC,2.61,2.93,3.19,3.33,3.50
Gross Income(In $M),MKC,"2,467","2,646","2,764",-,-
Cash Flow from Investing(In $M),MKC,-128,-134,-139,-,-
Cash Flow from Operations(In $M),MKC,"1,125","1,242","1,221",-,-
Cash Flow from Financing(In $M),MKC,-381,-865,-736,-,-
Cash Flow per Share(In $),MKC,3.57,3.93,4.00,4.21,4.42
Free Cash Flow(In $M),MKC,739,847,819,-,-
Free Cash Flow per Share(In $),MKC,3.53,3.62,3.94,-,-
Book Value per Share(In $),MKC,19.06,20.21,21.34,22.38,23.71
Net Debt(In $M),MKC,"4,587","4,259","4,056","3,227","2,867"
Research & Development Exp.(In $M),MKC,-,-,-,-,-
Capital Expenditure(In $M),MKC,270,270,272,237,246
"Selling, General & Admin. Exp.(In $M)",MKC,"1,447","1,526","1,569",-,-
Shareholder’s Equity(In $M),MKC,"5,139","5,472","5,801","6,040","6,399"
Total Assets(In $M),MKC,"13,779","13,938","14,242",-,-
